Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 14;
nRepetitions = 10;
condition = tilt15;
location = v;
expDate = 2016_Apr_18_1039;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-10.0 -4.0 1.0 0.58
-40.0 -9.0 -1.0 0.40
-30.0 16.0 1.0 0.33
-15.0 1.0 1.0 0.66
25.0 -4.0 -1.0 0.40
35.0 -1.0 -1.0 0.57
-25.0 1.0 1.0 0.42
15.0 11.0 1.0 0.33
20.0 -1.0 -1.0 0.43
40.0 -14.0 -1.0 0.42
-35.0 1.0 1.0 0.35
-20.0 -4.0 -1.0 0.55
-25.0 -14.0 -1.0 0.37
-45.0 -4.0 1.0 0.51
-15.0 -14.0 -1.0 0.45
0.0 16.0 1.0 0.34
15.0 -4.0 -1.0 0.40
-5.0 -14.0 -1.0 0.46
-35.0 16.0 1.0 0.37
-45.0 -9.0 -1.0 0.34
15.0 3.0 -1.0 0.42
-30.0 3.0 1.0 0.30
-15.0 11.0 1.0 0.35
25.0 11.0 1.0 0.53
-10.0 -14.0 -1.0 0.34
-5.0 -4.0 1.0 0.42
15.0 6.0 1.0 0.40
5.0 1.0 1.0 0.67
-30.0 6.0 1.0 0.39
-20.0 -9.0 -1.0 0.42
-15.0 -1.0 1.0 0.35
35.0 -14.0 -1.0 0.34
-10.0 -9.0 -1.0 0.39
0.0 3.0 1.0 0.36
25.0 -9.0 -1.0 0.40
-25.0 -1.0 1.0 0.33
-20.0 -1.0 1.0 0.39
-20.0 1.0 1.0 0.37
25.0 3.0 1.0 0.32
0.0 11.0 1.0 0.43
-20.0 3.0 1.0 0.56
5.0 -1.0 -1.0 0.34
-40.0 11.0 1.0 0.44
30.0 3.0 -1.0 0.42
-40.0 3.0 1.0 0.36
35.0 11.0 1.0 0.35
35.0 6.0 1.0 0.35
30.0 16.0 1.0 0.31
-5.0 3.0 1.0 0.36
-35.0 -4.0 -1.0 0.55
20.0 1.0 -1.0 0.46
-25.0 16.0 1.0 0.34
10.0 -14.0 -1.0 0.41
30.0 11.0 1.0 0.32
-45.0 11.0 1.0 0.36
40.0 3.0 -1.0 0.41
-5.0 16.0 1.0 0.40
-5.0 -1.0 -1.0 0.43
-40.0 6.0 1.0 0.59
-45.0 6.0 1.0 0.50
-40.0 1.0 -1.0 0.44
-15.0 16.0 1.0 0.34
-20.0 6.0 1.0 0.37
5.0 11.0 1.0 0.38
-25.0 3.0 1.0 0.38
-20.0 11.0 1.0 0.37
20.0 -4.0 -1.0 0.42
10.0 -9.0 -1.0 0.39
-15.0 -9.0 -1.0 0.49
0.0 -4.0 -1.0 0.49
20.0 3.0 -1.0 0.49
-30.0 11.0 1.0 0.39
35.0 -9.0 -1.0 0.37
15.0 -14.0 -1.0 0.43
35.0 3.0 1.0 0.40
-5.0 -9.0 -1.0 0.37
35.0 1.0 -1.0 0.58
0.0 6.0 1.0 0.37
40.0 1.0 -1.0 0.60
-10.0 11.0 1.0 0.34
15.0 -9.0 -1.0 0.37
-10.0 16.0 1.0 0.31
-10.0 -1.0 -1.0 0.54
0.0 -9.0 -1.0 0.42
40.0 -4.0 -1.0 0.50
10.0 11.0 1.0 0.39
-5.0 1.0 1.0 0.53
20.0 16.0 1.0 0.40
5.0 16.0 1.0 0.38
10.0 16.0 1.0 0.36
-5.0 11.0 1.0 0.36
-45.0 -1.0 -1.0 0.36
-15.0 3.0 1.0 0.33
-40.0 -1.0 -1.0 0.51
10.0 -1.0 -1.0 0.38
-30.0 -4.0 -1.0 0.39
-10.0 6.0 1.0 0.32
-30.0 -9.0 -1.0 0.34
-40.0 16.0 1.0 0.39
30.0 6.0 1.0 0.45
40.0 -1.0 -1.0 0.46
-30.0 1.0 -1.0 0.53
0.0 -14.0 -1.0 0.40
-15.0 6.0 1.0 0.34
10.0 -4.0 -1.0 0.40
-45.0 -14.0 -1.0 0.36
-35.0 -9.0 -1.0 0.38
-30.0 -1.0 -1.0 0.46
20.0 -9.0 -1.0 0.43
30.0 -14.0 -1.0 0.34
-25.0 6.0 1.0 0.34
-45.0 1.0 -1.0 0.73
-40.0 -14.0 -1.0 0.41
-40.0 -4.0 -1.0 0.45
25.0 1.0 -1.0 0.46
20.0 11.0 1.0 0.41
5.0 -4.0 -1.0 0.38
-45.0 16.0 1.0 0.36
5.0 3.0 -1.0 0.52
-20.0 16.0 1.0 0.30
10.0 3.0 -1.0 0.42
40.0 6.0 1.0 0.39
-35.0 -1.0 -1.0 0.41
-35.0 -14.0 -1.0 0.44
5.0 6.0 1.0 0.39
20.0 -14.0 -1.0 0.34
-30.0 -14.0 -1.0 0.35
-10.0 1.0 1.0 0.35
-20.0 -14.0 -1.0 0.33
25.0 16.0 1.0 0.41
-10.0 3.0 1.0 0.46
-25.0 11.0 1.0 0.39
30.0 1.0 -1.0 0.38
35.0 -4.0 -1.0 0.42
30.0 -1.0 -1.0 0.54
15.0 16.0 1.0 0.37
-25.0 -9.0 -1.0 0.48
10.0 1.0 -1.0 0.44
25.0 6.0 -1.0 0.60
10.0 6.0 -1.0 0.43
30.0 -4.0 -1.0 0.39
25.0 -1.0 -1.0 0.45
25.0 -14.0 -1.0 0.38
-35.0 3.0 1.0 0.48
