Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 13;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Feb_26_0937;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
10.0 13.0 1.0 0.96
-15.0 -1.0 1.0 0.74
20.0 -11.0 -1.0 0.62
30.0 13.0 1.0 0.70
-15.0 -4.0 1.0 0.73
-5.0 -1.0 1.0 0.54
5.0 -4.0 -1.0 0.53
30.0 -11.0 -1.0 0.54
35.0 9.0 1.0 0.66
20.0 3.0 -1.0 0.46
-35.0 -1.0 1.0 0.51
15.0 3.0 -1.0 0.46
-20.0 -11.0 -1.0 0.58
-40.0 3.0 1.0 0.45
20.0 -1.0 -1.0 0.53
-45.0 -1.0 1.0 0.64
15.0 -1.0 -1.0 0.85
-30.0 9.0 1.0 0.42
-40.0 -11.0 -1.0 0.42
-5.0 6.0 1.0 0.36
20.0 -7.0 -1.0 0.40
-40.0 -4.0 -1.0 0.72
40.0 13.0 1.0 0.47
15.0 -4.0 -1.0 0.42
40.0 -1.0 -1.0 0.54
-25.0 9.0 1.0 0.32
15.0 -7.0 -1.0 0.53
5.0 -11.0 -1.0 0.47
35.0 1.0 1.0 0.99
-15.0 -11.0 -1.0 0.33
-15.0 3.0 1.0 0.40
10.0 -11.0 -1.0 0.45
-25.0 3.0 1.0 0.40
-45.0 1.0 1.0 0.64
40.0 -4.0 -1.0 0.42
-15.0 6.0 1.0 0.33
-20.0 -1.0 1.0 0.71
-20.0 6.0 1.0 0.57
0.0 1.0 1.0 0.66
35.0 -1.0 1.0 1.25
-5.0 -7.0 -1.0 0.44
30.0 6.0 1.0 0.54
-30.0 -4.0 1.0 0.77
-35.0 1.0 1.0 0.41
-5.0 3.0 1.0 0.40
20.0 6.0 1.0 0.33
-30.0 -7.0 1.0 0.78
35.0 6.0 1.0 0.47
25.0 1.0 1.0 0.51
-25.0 13.0 1.0 0.34
-25.0 -1.0 1.0 0.56
-5.0 -4.0 1.0 0.40
0.0 13.0 1.0 0.52
15.0 9.0 1.0 0.57
0.0 6.0 1.0 0.44
-5.0 9.0 1.0 0.35
-40.0 13.0 1.0 0.43
20.0 13.0 1.0 0.50
25.0 3.0 -1.0 0.92
10.0 6.0 1.0 0.45
5.0 1.0 -1.0 0.79
-35.0 13.0 1.0 0.33
10.0 3.0 1.0 0.86
10.0 -4.0 -1.0 0.46
-25.0 1.0 1.0 0.35
30.0 3.0 1.0 0.51
-35.0 -7.0 -1.0 0.45
25.0 9.0 1.0 0.47
-20.0 9.0 1.0 0.58
-45.0 13.0 1.0 0.39
25.0 -4.0 -1.0 0.52
25.0 -1.0 -1.0 0.82
0.0 -1.0 1.0 2.39
-45.0 6.0 1.0 0.50
-20.0 13.0 1.0 0.46
-5.0 -11.0 -1.0 0.71
-45.0 -11.0 -1.0 0.61
-10.0 13.0 1.0 0.38
35.0 3.0 1.0 0.44
-10.0 3.0 1.0 0.45
-15.0 9.0 1.0 0.42
40.0 9.0 1.0 0.41
10.0 -1.0 -1.0 0.62
-20.0 -7.0 -1.0 0.58
-35.0 9.0 1.0 0.36
-10.0 1.0 1.0 0.40
-45.0 -7.0 -1.0 0.75
40.0 6.0 1.0 0.33
0.0 -11.0 -1.0 0.36
0.0 3.0 1.0 0.32
-40.0 9.0 1.0 0.38
-25.0 6.0 1.0 0.37
-45.0 9.0 1.0 0.46
-45.0 -4.0 -1.0 0.83
25.0 13.0 1.0 0.34
-25.0 -7.0 -1.0 0.93
30.0 1.0 1.0 0.33
-30.0 -1.0 1.0 0.37
-5.0 13.0 1.0 0.37
-25.0 -11.0 -1.0 0.46
0.0 -4.0 1.0 0.27
-35.0 6.0 1.0 0.35
30.0 -1.0 -1.0 0.31
-15.0 13.0 1.0 0.28
35.0 -7.0 -1.0 0.69
20.0 9.0 1.0 0.29
-10.0 -7.0 -1.0 0.76
10.0 9.0 1.0 0.27
-10.0 -1.0 1.0 0.63
5.0 3.0 1.0 0.49
-10.0 9.0 1.0 0.39
40.0 1.0 1.0 0.59
25.0 6.0 1.0 0.46
-10.0 -4.0 1.0 0.62
5.0 -7.0 -1.0 0.56
-35.0 -11.0 -1.0 0.42
15.0 13.0 1.0 0.47
5.0 -1.0 -1.0 0.45
25.0 -11.0 -1.0 0.50
-10.0 6.0 1.0 0.44
15.0 1.0 -1.0 0.76
-45.0 3.0 1.0 0.47
10.0 1.0 -1.0 0.77
30.0 -4.0 -1.0 0.46
-40.0 6.0 1.0 0.38
15.0 -11.0 -1.0 0.51
-25.0 -4.0 -1.0 0.75
-30.0 1.0 1.0 0.41
-20.0 1.0 1.0 0.38
-40.0 -7.0 -1.0 0.45
40.0 -7.0 -1.0 0.45
-30.0 -11.0 -1.0 0.43
10.0 -7.0 -1.0 0.38
40.0 3.0 1.0 0.49
-5.0 1.0 1.0 0.43
-15.0 -7.0 -1.0 0.99
-30.0 6.0 1.0 0.39
-35.0 3.0 1.0 0.46
5.0 9.0 1.0 0.36
-15.0 1.0 1.0 0.35
20.0 -4.0 -1.0 0.52
-20.0 -4.0 1.0 0.34
-10.0 -11.0 -1.0 0.51
35.0 13.0 1.0 0.35
30.0 -7.0 -1.0 0.31
