Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 5;
nRepetitions = 10;
condition = tilt30;
location = v;
expDate = 2016_Feb_25_1005;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
20.0 15.5 1.0 0.33
-40.0 2.5 -1.0 0.46
0.0 -14.5 -1.0 0.44
10.0 -14.5 -1.0 0.49
35.0 5.5 -1.0 0.62
20.0 -4.5 -1.0 0.38
-10.0 10.5 1.0 0.30
-30.0 -9.5 -1.0 0.39
15.0 15.5 1.0 0.32
-30.0 -1.5 -1.0 0.51
25.0 -9.5 -1.0 0.42
-45.0 0.5 -1.0 0.47
-35.0 15.5 1.0 0.29
-5.0 2.5 -1.0 0.51
15.0 -14.5 -1.0 0.41
-30.0 5.5 1.0 0.30
-20.0 -14.5 -1.0 0.62
-25.0 15.5 1.0 0.31
20.0 5.5 -1.0 0.44
15.0 0.5 -1.0 0.42
40.0 10.5 1.0 0.42
30.0 -4.5 -1.0 0.35
15.0 -4.5 -1.0 0.37
-5.0 -4.5 -1.0 0.42
25.0 0.5 -1.0 0.41
35.0 -14.5 -1.0 0.44
-10.0 5.5 1.0 0.40
5.0 5.5 1.0 0.44
30.0 -1.5 -1.0 0.40
30.0 10.5 1.0 0.49
-15.0 -4.5 -1.0 0.41
-45.0 -1.5 -1.0 0.44
-30.0 -4.5 -1.0 0.46
15.0 -1.5 -1.0 0.52
-15.0 -1.5 -1.0 0.83
-25.0 -14.5 -1.0 0.50
-15.0 -9.5 -1.0 0.56
10.0 5.5 1.0 0.34
-45.0 10.5 1.0 0.33
40.0 -4.5 -1.0 0.46
10.0 15.5 1.0 0.31
15.0 10.5 1.0 0.36
5.0 2.5 1.0 0.44
40.0 5.5 -1.0 0.50
-40.0 0.5 -1.0 0.40
0.0 -1.5 1.0 0.52
-15.0 10.5 1.0 0.35
10.0 10.5 1.0 0.38
-40.0 5.5 1.0 0.36
-45.0 5.5 1.0 0.41
-25.0 5.5 1.0 0.36
5.0 10.5 1.0 0.39
35.0 0.5 -1.0 0.49
-10.0 -9.5 -1.0 0.36
-10.0 -1.5 -1.0 0.42
0.0 5.5 1.0 0.41
30.0 0.5 1.0 0.65
25.0 -14.5 -1.0 0.39
40.0 2.5 -1.0 0.51
35.0 2.5 -1.0 0.41
-35.0 -9.5 -1.0 0.38
-25.0 -9.5 -1.0 0.40
-40.0 -1.5 1.0 0.45
20.0 0.5 -1.0 0.35
30.0 15.5 1.0 0.38
5.0 -1.5 -1.0 0.37
40.0 -1.5 -1.0 0.41
-5.0 0.5 -1.0 0.41
-20.0 15.5 1.0 0.33
-10.0 2.5 -1.0 0.42
20.0 -14.5 -1.0 0.33
-20.0 5.5 1.0 0.57
-35.0 0.5 -1.0 0.39
-20.0 0.5 -1.0 0.39
10.0 -4.5 -1.0 0.45
-15.0 5.5 1.0 0.33
-35.0 2.5 -1.0 0.40
5.0 0.5 -1.0 0.45
25.0 -1.5 -1.0 0.42
-20.0 10.5 1.0 0.29
25.0 2.5 -1.0 0.38
-35.0 -14.5 -1.0 0.38
40.0 15.5 1.0 0.38
-45.0 -9.5 -1.0 0.37
-30.0 0.5 -1.0 0.54
-20.0 -1.5 -1.0 0.36
5.0 -9.5 -1.0 0.36
35.0 -4.5 -1.0 0.30
-40.0 10.5 1.0 0.34
25.0 15.5 1.0 0.45
25.0 5.5 -1.0 0.44
-25.0 2.5 -1.0 0.59
-5.0 10.5 1.0 0.30
-15.0 0.5 -1.0 0.51
0.0 10.5 1.0 0.32
40.0 0.5 -1.0 0.45
10.0 2.5 -1.0 0.46
-35.0 5.5 -1.0 0.51
-25.0 0.5 -1.0 0.44
-35.0 -1.5 -1.0 0.34
0.0 -9.5 -1.0 0.41
-45.0 -14.5 -1.0 0.36
35.0 10.5 1.0 0.39
-5.0 -14.5 -1.0 0.40
40.0 -14.5 -1.0 0.38
-20.0 2.5 -1.0 0.69
-30.0 15.5 1.0 0.35
35.0 -1.5 -1.0 0.42
0.0 0.5 1.0 0.49
10.0 -9.5 -1.0 0.43
-15.0 2.5 1.0 0.50
-25.0 -1.5 -1.0 0.44
10.0 0.5 -1.0 0.46
-40.0 -14.5 -1.0 0.44
30.0 -9.5 -1.0 0.45
35.0 -9.5 -1.0 0.48
-30.0 2.5 1.0 0.39
20.0 -1.5 -1.0 0.43
30.0 2.5 -1.0 0.63
-5.0 5.5 1.0 0.30
-15.0 15.5 1.0 0.39
-30.0 -14.5 -1.0 0.39
-45.0 2.5 -1.0 0.62
-25.0 -4.5 -1.0 0.54
20.0 10.5 1.0 0.36
-40.0 -9.5 -1.0 0.51
15.0 5.5 1.0 0.37
20.0 -9.5 -1.0 0.36
10.0 -1.5 -1.0 0.39
-25.0 10.5 1.0 0.31
5.0 -4.5 -1.0 0.32
-45.0 15.5 1.0 0.33
-15.0 -14.5 -1.0 0.34
-10.0 15.5 1.0 0.31
-10.0 0.5 -1.0 0.40
25.0 -4.5 -1.0 0.38
-30.0 10.5 1.0 0.38
0.0 15.5 1.0 0.34
-5.0 15.5 1.0 0.36
0.0 2.5 -1.0 0.56
-45.0 -4.5 -1.0 0.38
-40.0 15.5 1.0 0.40
-10.0 -14.5 -1.0 0.39
5.0 15.5 1.0 0.36
25.0 10.5 1.0 0.35
40.0 -9.5 -1.0 0.48
-35.0 -4.5 -1.0 0.39
0.0 -4.5 -1.0 0.40
15.0 2.5 -1.0 0.38
-20.0 -4.5 -1.0 0.46
15.0 -9.5 -1.0 0.38
-35.0 10.5 1.0 0.58
-40.0 -4.5 -1.0 0.44
35.0 15.5 1.0 0.33
-5.0 -1.5 1.0 0.63
5.0 -14.5 -1.0 0.37
20.0 2.5 -1.0 0.43
-5.0 -9.5 -1.0 0.38
30.0 5.5 1.0 0.53
30.0 0.5 -1.0 0.43
20.0 -4.5 -1.0 0.33
-5.0 -9.5 -1.0 0.30
-30.0 -1.5 -1.0 0.34
20.0 0.5 -1.0 0.38
-40.0 10.5 1.0 0.47
-15.0 0.5 -1.0 0.57
-25.0 -1.5 -1.0 0.32
-30.0 10.5 1.0 0.46
-25.0 -9.5 -1.0 0.33
10.0 2.5 -1.0 0.36
10.0 0.5 -1.0 0.33
-10.0 -1.5 -1.0 0.44
0.0 2.5 -1.0 0.34
-25.0 -14.5 -1.0 0.37
-40.0 2.5 1.0 0.46
10.0 -9.5 -1.0 0.30
-15.0 2.5 -1.0 0.33
35.0 -4.5 -1.0 0.35
5.0 10.5 1.0 0.34
-10.0 -4.5 -1.0 0.31
-25.0 5.5 1.0 0.41
-45.0 -1.5 -1.0 0.29
5.0 0.5 -1.0 0.40
-30.0 -9.5 -1.0 0.31
15.0 15.5 1.0 0.31
-20.0 -1.5 -1.0 0.46
20.0 -9.5 -1.0 0.38
0.0 15.5 1.0 0.34
0.0 -1.5 -1.0 0.38
-20.0 -14.5 -1.0 0.32
30.0 -14.5 -1.0 0.40
0.0 5.5 1.0 0.44
-40.0 15.5 1.0 0.42
-45.0 15.5 1.0 0.31
40.0 10.5 1.0 0.35
-30.0 5.5 1.0 0.45
5.0 2.5 1.0 0.41
-40.0 -9.5 -1.0 0.32
35.0 -9.5 -1.0 0.32
40.0 5.5 -1.0 0.42
15.0 -9.5 -1.0 0.40
-5.0 15.5 1.0 0.30
5.0 -14.5 -1.0 0.37
10.0 10.5 1.0 0.47
0.0 0.5 1.0 0.61
-15.0 15.5 1.0 0.38
-25.0 -4.5 -1.0 0.39
-25.0 0.5 -1.0 0.40
-10.0 -14.5 -1.0 0.34
30.0 2.5 -1.0 0.48
-30.0 -4.5 -1.0 0.40
40.0 0.5 -1.0 0.38
30.0 -9.5 -1.0 0.38
35.0 15.5 1.0 0.35
-35.0 10.5 1.0 0.34
5.0 -9.5 -1.0 0.41
-45.0 5.5 1.0 0.39
5.0 15.5 1.0 0.34
25.0 -1.5 -1.0 0.36
0.0 -14.5 -1.0 0.40
-5.0 -14.5 -1.0 0.35
25.0 -4.5 -1.0 0.31
20.0 2.5 -1.0 0.36
25.0 10.5 1.0 0.46
30.0 -1.5 -1.0 0.58
30.0 10.5 1.0 0.44
-45.0 -14.5 -1.0 0.39
-35.0 2.5 -1.0 0.55
-35.0 -9.5 -1.0 0.38
15.0 5.5 1.0 0.52
-45.0 10.5 1.0 0.38
25.0 0.5 -1.0 0.43
10.0 5.5 1.0 0.53
-5.0 10.5 1.0 0.32
30.0 15.5 1.0 0.29
-45.0 -4.5 -1.0 0.44
-20.0 2.5 -1.0 0.53
20.0 -14.5 -1.0 0.30
-10.0 -9.5 -1.0 0.31
40.0 15.5 1.0 0.33
-15.0 -9.5 -1.0 0.40
30.0 -4.5 -1.0 0.39
-30.0 0.5 -1.0 0.45
-10.0 5.5 1.0 0.46
-45.0 -9.5 -1.0 0.33
-5.0 -4.5 -1.0 0.56
40.0 2.5 -1.0 0.41
-20.0 -9.5 -1.0 0.41
-5.0 5.5 1.0 0.42
-40.0 -1.5 -1.0 0.62
-40.0 5.5 1.0 0.46
-20.0 15.5 1.0 0.40
15.0 2.5 -1.0 0.32
10.0 15.5 1.0 0.33
-45.0 2.5 -1.0 0.34
10.0 -4.5 -1.0 0.36
15.0 -1.5 -1.0 0.47
35.0 -14.5 -1.0 0.34
-35.0 -1.5 -1.0 0.38
-40.0 -14.5 -1.0 0.33
25.0 -14.5 -1.0 0.34
-35.0 -14.5 -1.0 0.37
0.0 10.5 1.0 0.35
-35.0 15.5 1.0 0.33
20.0 15.5 1.0 0.37
-20.0 -4.5 -1.0 0.47
-15.0 10.5 1.0 0.40
40.0 -14.5 -1.0 0.34
-5.0 2.5 1.0 0.56
10.0 -1.5 -1.0 0.42
40.0 -1.5 -1.0 0.39
40.0 -9.5 -1.0 0.41
-30.0 -14.5 -1.0 0.42
5.0 -1.5 -1.0 0.39
25.0 5.5 1.0 0.48
-5.0 0.5 1.0 0.66
30.0 5.5 1.0 0.44
25.0 -9.5 -1.0 0.43
-15.0 -4.5 -1.0 0.40
-35.0 5.5 1.0 0.47
5.0 -4.5 -1.0 0.43
40.0 -4.5 -1.0 0.44
-10.0 10.5 1.0 0.33
-20.0 10.5 1.0 0.39
20.0 -1.5 -1.0 0.42
35.0 10.5 1.0 0.41
-20.0 5.5 1.0 0.42
25.0 15.5 1.0 0.35
-40.0 0.5 -1.0 0.42
35.0 5.5 1.0 0.45
-10.0 0.5 -1.0 0.41
-25.0 15.5 1.0 0.41
-15.0 -14.5 -1.0 0.44
35.0 2.5 -1.0 0.43
-15.0 5.5 1.0 0.35
-5.0 -1.5 1.0 0.49
-40.0 -4.5 -1.0 0.35
5.0 5.5 1.0 0.42
-35.0 -4.5 -1.0 0.34
25.0 2.5 -1.0 0.40
-30.0 2.5 -1.0 0.42
15.0 10.5 1.0 0.38
-30.0 15.5 1.0 0.31
-25.0 10.5 1.0 0.31
-15.0 -1.5 -1.0 0.48
20.0 5.5 1.0 0.40
35.0 0.5 -1.0 0.64
-10.0 15.5 1.0 0.26
-20.0 0.5 1.0 0.34
15.0 -4.5 -1.0 0.33
0.0 -4.5 -1.0 0.43
0.0 -9.5 -1.0 0.41
-25.0 2.5 1.0 0.35
20.0 10.5 1.0 0.33
-10.0 2.5 -1.0 0.48
15.0 0.5 -1.0 0.61
-35.0 0.5 -1.0 0.43
-45.0 0.5 -1.0 0.39
15.0 -14.5 -1.0 0.38
35.0 -1.5 -1.0 0.41
10.0 -14.5 -1.0 0.41
-40.0 10.5 1.0 0.45
-25.0 10.5 1.0 0.33
-35.0 2.5 1.0 0.64
40.0 0.5 1.0 0.50
-25.0 -1.5 1.0 0.61
-30.0 15.5 1.0 0.35
-15.0 -1.5 -1.0 0.37
-25.0 -14.5 -1.0 0.35
25.0 0.5 -1.0 0.40
5.0 2.5 -1.0 0.50
-20.0 15.5 1.0 0.38
15.0 -9.5 -1.0 0.39
-10.0 -9.5 -1.0 0.47
-15.0 15.5 1.0 0.30
-15.0 5.5 1.0 0.33
40.0 10.5 1.0 0.35
20.0 -1.5 -1.0 0.35
30.0 -14.5 -1.0 0.38
-35.0 0.5 -1.0 0.43
40.0 -14.5 -1.0 0.40
-20.0 0.5 -1.0 0.42
25.0 -9.5 -1.0 0.43
30.0 0.5 1.0 0.35
5.0 -1.5 1.0 0.53
5.0 0.5 1.0 0.47
10.0 -14.5 -1.0 0.38
-15.0 -14.5 -1.0 0.46
20.0 5.5 1.0 0.36
-5.0 -14.5 -1.0 0.49
35.0 10.5 1.0 0.32
-35.0 5.5 1.0 0.43
-10.0 2.5 -1.0 0.39
-40.0 -1.5 1.0 0.39
25.0 5.5 1.0 0.41
10.0 -1.5 -1.0 0.46
5.0 -9.5 -1.0 0.40
5.0 -4.5 -1.0 0.45
-15.0 2.5 1.0 0.45
40.0 5.5 1.0 0.35
40.0 -4.5 -1.0 0.60
15.0 0.5 -1.0 1.17
15.0 10.5 1.0 0.47
-40.0 5.5 1.0 0.43
15.0 -1.5 -1.0 0.42
-25.0 0.5 -1.0 0.54
-30.0 -1.5 -1.0 0.47
35.0 15.5 1.0 0.35
-10.0 10.5 1.0 0.34
-5.0 2.5 1.0 0.41
-35.0 10.5 1.0 0.34
-45.0 -4.5 -1.0 0.49
0.0 2.5 -1.0 0.79
-15.0 -9.5 -1.0 0.49
-45.0 5.5 1.0 0.49
-25.0 -9.5 -1.0 0.47
-45.0 15.5 1.0 0.36
15.0 2.5 -1.0 0.41
35.0 0.5 -1.0 0.83
30.0 -1.5 -1.0 0.45
20.0 0.5 -1.0 0.46
-5.0 5.5 1.0 0.35
-35.0 -9.5 -1.0 0.43
-45.0 2.5 -1.0 0.71
5.0 5.5 1.0 0.32
25.0 -1.5 -1.0 0.34
-30.0 2.5 -1.0 0.41
-5.0 0.5 -1.0 0.43
-25.0 5.5 -1.0 0.43
15.0 -14.5 -1.0 0.39
40.0 -1.5 -1.0 0.44
-25.0 15.5 1.0 0.39
35.0 2.5 1.0 0.47
-20.0 -14.5 -1.0 0.42
30.0 10.5 1.0 0.42
-15.0 0.5 -1.0 0.44
35.0 5.5 1.0 0.57
-20.0 -4.5 -1.0 0.49
-20.0 -9.5 -1.0 0.45
-20.0 -1.5 -1.0 0.59
25.0 -14.5 -1.0 0.54
-5.0 -1.5 1.0 0.38
10.0 -4.5 1.0 0.54
0.0 10.5 1.0 0.43
-40.0 0.5 1.0 0.68
-45.0 -1.5 1.0 0.51
-10.0 -1.5 1.0 0.45
-35.0 -14.5 -1.0 0.42
20.0 2.5 1.0 0.46
-10.0 0.5 1.0 0.37
0.0 -9.5 -1.0 0.58
-30.0 5.5 1.0 0.45
-35.0 15.5 1.0 0.38
-5.0 15.5 1.0 0.37
15.0 15.5 1.0 0.45
-5.0 10.5 1.0 0.32
-15.0 10.5 1.0 0.35
-10.0 15.5 1.0 0.31
0.0 -1.5 -1.0 0.53
-45.0 0.5 -1.0 0.40
40.0 15.5 1.0 0.41
0.0 0.5 -1.0 0.46
-20.0 2.5 -1.0 0.52
10.0 -9.5 -1.0 0.44
-30.0 0.5 1.0 0.71
30.0 -9.5 -1.0 0.35
30.0 15.5 1.0 0.39
0.0 15.5 1.0 0.36
-30.0 -9.5 -1.0 0.43
0.0 -4.5 -1.0 0.50
-40.0 -4.5 -1.0 0.40
10.0 2.5 -1.0 0.43
0.0 5.5 1.0 0.46
35.0 -1.5 -1.0 0.53
20.0 15.5 1.0 0.33
-25.0 -4.5 -1.0 0.41
20.0 -9.5 -1.0 0.46
-35.0 -4.5 -1.0 0.50
30.0 5.5 1.0 0.33
30.0 -4.5 -1.0 0.37
-30.0 -4.5 -1.0 0.44
35.0 -9.5 -1.0 0.43
-40.0 -9.5 -1.0 0.46
-40.0 -14.5 -1.0 0.44
-20.0 10.5 1.0 0.49
-40.0 2.5 -1.0 0.41
-30.0 10.5 1.0 0.66
-35.0 -1.5 -1.0 0.52
-15.0 -4.5 -1.0 0.50
35.0 -4.5 -1.0 0.37
40.0 -9.5 -1.0 0.44
10.0 15.5 1.0 0.39
-45.0 10.5 1.0 0.33
-10.0 -4.5 -1.0 0.43
-45.0 -14.5 -1.0 0.38
30.0 2.5 -1.0 0.47
40.0 2.5 1.0 0.48
15.0 5.5 1.0 0.38
-10.0 5.5 1.0 0.45
20.0 -14.5 -1.0 0.40
5.0 -14.5 -1.0 0.41
-10.0 -14.5 -1.0 0.47
-5.0 -4.5 -1.0 0.44
-40.0 15.5 1.0 0.36
20.0 -4.5 -1.0 0.44
25.0 -4.5 -1.0 0.42
5.0 10.5 1.0 0.40
