Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 5;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Feb_25_0900;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-10.0 7.0 1.0 0.34
40.0 -6.0 -1.0 0.36
40.0 -3.0 -1.0 0.31
30.0 11.0 1.0 0.28
-20.0 -6.0 -1.0 0.34
0.0 -6.0 -1.0 0.34
-45.0 -9.0 -1.0 0.31
25.0 -9.0 -1.0 0.31
15.0 11.0 1.0 0.27
40.0 -13.0 -1.0 0.28
-10.0 -3.0 1.0 0.50
20.0 -1.0 -1.0 0.40
25.0 -3.0 -1.0 0.31
-15.0 -1.0 -1.0 0.23
-25.0 4.0 1.0 0.30
5.0 7.0 1.0 0.26
25.0 1.0 -1.0 0.37
40.0 4.0 1.0 0.30
-5.0 -13.0 -1.0 0.28
-20.0 11.0 1.0 0.34
-40.0 7.0 1.0 0.31
-30.0 -6.0 -1.0 0.34
35.0 -9.0 -1.0 0.28
5.0 11.0 1.0 0.31
-30.0 -13.0 -1.0 0.28
0.0 -3.0 -1.0 0.25
20.0 -9.0 -1.0 0.27
-40.0 -13.0 1.0 0.28
-15.0 -13.0 -1.0 0.28
-5.0 7.0 1.0 0.24
20.0 11.0 1.0 0.27
5.0 1.0 1.0 0.39
-10.0 1.0 1.0 0.41
-35.0 4.0 1.0 0.34
20.0 -3.0 -1.0 0.33
-15.0 -3.0 -1.0 0.33
-20.0 -3.0 -1.0 0.33
-30.0 7.0 1.0 0.37
-35.0 -1.0 -1.0 0.30
5.0 -13.0 -1.0 0.35
-45.0 7.0 1.0 0.33
0.0 -9.0 -1.0 0.35
-35.0 -3.0 -1.0 0.35
-40.0 -6.0 -1.0 0.31
-45.0 -3.0 -1.0 0.29
40.0 11.0 1.0 0.31
-15.0 -6.0 -1.0 0.40
-45.0 -1.0 1.0 0.26
30.0 -1.0 -1.0 0.25
-25.0 -3.0 -1.0 0.53
10.0 -1.0 -1.0 0.35
-20.0 -9.0 -1.0 0.31
-5.0 -1.0 -1.0 0.30
25.0 7.0 -1.0 0.30
-10.0 -13.0 -1.0 0.32
0.0 -13.0 -1.0 0.18
-40.0 4.0 -1.0 0.41
-20.0 -13.0 -1.0 0.38
-10.0 -1.0 1.0 0.25
30.0 -9.0 -1.0 0.33
-5.0 -3.0 -1.0 0.39
35.0 -3.0 -1.0 0.34
40.0 -9.0 -1.0 0.35
15.0 -9.0 -1.0 0.28
15.0 -13.0 -1.0 0.55
-40.0 -1.0 1.0 0.34
-30.0 11.0 1.0 0.37
-5.0 4.0 1.0 0.32
35.0 -1.0 -1.0 0.27
-5.0 -6.0 1.0 0.23
-20.0 4.0 1.0 0.38
20.0 -6.0 -1.0 0.38
-30.0 -9.0 -1.0 0.52
-25.0 11.0 1.0 0.35
-20.0 1.0 1.0 0.32
-25.0 -6.0 1.0 0.29
15.0 -1.0 -1.0 0.25
-10.0 -9.0 -1.0 0.31
-40.0 -9.0 -1.0 0.32
-45.0 4.0 1.0 0.36
5.0 -3.0 -1.0 0.35
10.0 11.0 1.0 0.36
30.0 -13.0 -1.0 0.34
-40.0 11.0 1.0 0.22
10.0 -9.0 -1.0 0.28
-15.0 4.0 1.0 0.34
-5.0 1.0 1.0 0.33
10.0 4.0 1.0 0.35
10.0 1.0 1.0 0.33
35.0 1.0 -1.0 0.33
30.0 -3.0 -1.0 0.48
5.0 -6.0 -1.0 0.27
0.0 1.0 -1.0 0.40
0.0 4.0 -1.0 0.33
-10.0 -6.0 -1.0 0.46
0.0 7.0 1.0 0.24
20.0 -13.0 -1.0 0.37
-35.0 -6.0 -1.0 0.43
-25.0 -1.0 1.0 0.30
-45.0 11.0 1.0 0.34
-5.0 11.0 1.0 0.30
-35.0 -13.0 -1.0 0.42
-25.0 -9.0 -1.0 0.31
-40.0 1.0 1.0 0.44
35.0 -6.0 -1.0 0.30
15.0 -3.0 -1.0 0.32
10.0 -3.0 -1.0 0.32
-25.0 7.0 1.0 0.37
-30.0 -1.0 -1.0 0.44
20.0 4.0 -1.0 0.34
5.0 4.0 1.0 0.41
25.0 11.0 1.0 0.31
35.0 4.0 1.0 0.31
-30.0 -3.0 -1.0 0.39
10.0 -6.0 -1.0 0.36
-15.0 1.0 1.0 0.39
-20.0 7.0 1.0 0.40
40.0 7.0 1.0 0.27
0.0 -1.0 -1.0 0.44
15.0 1.0 -1.0 0.38
25.0 -1.0 -1.0 0.29
5.0 -1.0 -1.0 0.32
35.0 7.0 1.0 0.36
-15.0 -9.0 -1.0 0.35
0.0 11.0 1.0 0.37
-35.0 7.0 1.0 0.43
30.0 -6.0 -1.0 0.31
15.0 -6.0 -1.0 0.28
-20.0 -1.0 1.0 0.27
25.0 -6.0 -1.0 0.29
-45.0 1.0 1.0 0.32
30.0 1.0 -1.0 0.33
15.0 4.0 -1.0 0.34
30.0 7.0 1.0 0.34
10.0 -13.0 -1.0 0.37
-45.0 -6.0 -1.0 0.35
40.0 1.0 -1.0 0.36
-45.0 -13.0 -1.0 0.30
-10.0 4.0 1.0 0.38
25.0 -13.0 -1.0 0.28
-25.0 -13.0 -1.0 0.31
-35.0 1.0 -1.0 0.29
10.0 7.0 1.0 0.28
-30.0 4.0 1.0 0.35
30.0 4.0 1.0 0.32
40.0 -1.0 1.0 0.39
-10.0 11.0 1.0 0.30
-15.0 11.0 1.0 0.34
-35.0 11.0 1.0 0.29
25.0 4.0 -1.0 0.35
-30.0 1.0 1.0 0.35
5.0 -9.0 -1.0 0.35
-15.0 7.0 1.0 0.42
-5.0 -9.0 1.0 0.27
20.0 1.0 -1.0 0.32
-35.0 -9.0 -1.0 0.39
20.0 7.0 1.0 0.41
-40.0 -3.0 -1.0 0.62
40.0 -1.0 -1.0 0.36
-5.0 -13.0 -1.0 0.33
0.0 -6.0 -1.0 0.30
-30.0 -3.0 -1.0 0.45
35.0 -1.0 -1.0 0.38
30.0 -13.0 -1.0 0.37
-20.0 -9.0 -1.0 0.38
-40.0 11.0 1.0 0.32
-10.0 -13.0 -1.0 0.28
35.0 1.0 -1.0 0.37
-20.0 -6.0 -1.0 0.36
5.0 -9.0 -1.0 0.34
