Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 5;
nRepetitions = 10;
condition = tilt15;
location = v;
expDate = 2016_Feb_25_1106;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-25.0 -1.5 1.0 0.51
-40.0 5.5 1.0 0.35
-35.0 -9.5 -1.0 0.51
-25.0 10.5 1.0 0.37
-5.0 5.5 1.0 0.54
15.0 -14.5 -1.0 0.29
15.0 2.5 -1.0 0.40
25.0 -9.5 -1.0 0.37
-15.0 10.5 1.0 0.40
-35.0 -1.5 -1.0 0.36
-20.0 0.5 -1.0 0.38
20.0 2.5 -1.0 0.39
20.0 15.5 1.0 0.33
-40.0 15.5 1.0 0.34
5.0 -9.5 -1.0 0.41
-30.0 15.5 1.0 0.29
-30.0 -9.5 -1.0 0.30
0.0 15.5 1.0 0.34
-40.0 10.5 1.0 0.44
-5.0 0.5 -1.0 0.34
30.0 -14.5 -1.0 0.32
5.0 2.5 1.0 0.47
-40.0 -4.5 -1.0 0.42
-30.0 -14.5 -1.0 0.44
-10.0 0.5 -1.0 0.54
-5.0 -1.5 -1.0 0.49
20.0 -4.5 -1.0 0.38
-45.0 -9.5 -1.0 0.38
-35.0 0.5 -1.0 0.45
-25.0 2.5 1.0 0.73
30.0 -1.5 -1.0 0.33
40.0 0.5 -1.0 0.36
-20.0 -14.5 -1.0 0.35
-25.0 5.5 1.0 0.39
-10.0 -9.5 -1.0 0.35
40.0 2.5 -1.0 0.38
25.0 15.5 1.0 0.42
-20.0 -1.5 -1.0 0.46
10.0 15.5 1.0 0.31
15.0 10.5 1.0 0.46
-10.0 15.5 1.0 0.36
25.0 10.5 1.0 0.32
-20.0 15.5 1.0 0.36
-35.0 2.5 -1.0 0.32
35.0 2.5 -1.0 0.40
-35.0 15.5 1.0 0.32
30.0 -9.5 -1.0 0.34
0.0 10.5 1.0 0.38
30.0 5.5 1.0 0.61
20.0 -1.5 -1.0 0.38
20.0 0.5 -1.0 0.45
-5.0 15.5 1.0 0.36
-10.0 5.5 1.0 0.41
20.0 5.5 1.0 0.54
40.0 10.5 1.0 0.42
5.0 15.5 1.0 0.38
10.0 -1.5 -1.0 0.45
10.0 -14.5 -1.0 0.40
5.0 5.5 1.0 0.43
-20.0 -4.5 -1.0 0.44
30.0 2.5 1.0 0.58
-10.0 10.5 1.0 0.39
40.0 -1.5 -1.0 0.38
-5.0 -14.5 -1.0 0.43
10.0 5.5 1.0 0.58
5.0 10.5 1.0 0.35
35.0 -9.5 -1.0 0.35
10.0 -9.5 -1.0 0.40
5.0 -14.5 -1.0 0.40
-10.0 -1.5 -1.0 0.50
40.0 -4.5 -1.0 0.38
35.0 5.5 1.0 0.35
5.0 -4.5 -1.0 0.42
-40.0 2.5 1.0 0.42
-15.0 2.5 1.0 0.43
15.0 -1.5 -1.0 0.40
-45.0 -4.5 -1.0 0.38
-45.0 15.5 1.0 0.39
15.0 -9.5 -1.0 0.37
35.0 -1.5 -1.0 0.43
-25.0 15.5 1.0 0.33
-30.0 0.5 -1.0 0.66
-5.0 10.5 1.0 0.28
-25.0 -9.5 -1.0 0.40
-30.0 5.5 1.0 0.40
15.0 5.5 1.0 0.49
15.0 15.5 1.0 0.40
0.0 -4.5 -1.0 0.39
0.0 2.5 1.0 0.98
-45.0 10.5 1.0 0.49
0.0 -1.5 -1.0 0.37
-5.0 -9.5 -1.0 0.42
35.0 -14.5 -1.0 0.40
-20.0 5.5 1.0 0.39
-20.0 2.5 1.0 0.55
-30.0 10.5 1.0 0.59
-5.0 -4.5 -1.0 0.48
40.0 -9.5 -1.0 0.39
-10.0 -14.5 -1.0 0.42
-35.0 -4.5 -1.0 0.45
30.0 0.5 1.0 0.54
-15.0 -4.5 -1.0 0.45
30.0 15.5 1.0 0.40
0.0 -14.5 -1.0 0.38
40.0 15.5 1.0 0.36
-20.0 -9.5 -1.0 0.39
-15.0 -1.5 -1.0 0.46
-5.0 2.5 1.0 0.51
-10.0 -4.5 -1.0 0.47
35.0 15.5 1.0 0.41
-25.0 0.5 -1.0 0.35
10.0 10.5 1.0 0.37
-30.0 -1.5 -1.0 0.50
15.0 0.5 -1.0 0.49
-40.0 -9.5 -1.0 0.40
40.0 -14.5 -1.0 0.44
-45.0 0.5 -1.0 0.61
10.0 0.5 -1.0 0.50
30.0 -4.5 -1.0 0.40
10.0 -4.5 -1.0 0.41
-15.0 5.5 1.0 0.33
20.0 10.5 1.0 0.41
-40.0 0.5 -1.0 0.53
-35.0 10.5 1.0 0.38
0.0 0.5 -1.0 0.55
-15.0 -9.5 -1.0 0.42
-35.0 5.5 1.0 0.43
25.0 -14.5 -1.0 0.42
35.0 -4.5 -1.0 0.40
-40.0 -1.5 -1.0 0.43
10.0 2.5 -1.0 0.46
35.0 10.5 1.0 0.41
15.0 -4.5 -1.0 0.42
25.0 2.5 -1.0 0.55
-15.0 0.5 -1.0 0.43
-30.0 2.5 -1.0 0.46
20.0 -14.5 -1.0 0.35
20.0 -9.5 -1.0 0.35
5.0 -1.5 -1.0 0.37
0.0 5.5 1.0 0.41
-45.0 5.5 1.0 0.43
0.0 -9.5 -1.0 0.37
25.0 0.5 -1.0 0.37
