Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Dark SVV task: a rod is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 5;
nRepetitions = 10;
condition = darkSVV;
location = v;
expDate = 2016_Feb_25_0835;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
0.0 -2.0 -1.0 0.74
0.0 5.0 1.0 0.27
0.0 8.0 1.0 0.22
0.0 -12.0 -1.0 0.26
0.0 0.0 -1.0 0.31
0.0 12.0 1.0 0.19
0.0 -5.0 1.0 0.21
0.0 2.0 1.0 0.46
0.0 -8.0 -1.0 0.26
0.0 8.0 1.0 0.21
0.0 -8.0 1.0 0.22
0.0 -2.0 1.0 1.97
0.0 2.0 1.0 0.31
0.0 -5.0 -1.0 0.24
0.0 12.0 1.0 0.25
0.0 -12.0 -1.0 0.28
0.0 5.0 1.0 0.29
0.0 0.0 -1.0 0.20
0.0 5.0 1.0 0.19
0.0 8.0 1.0 0.29
0.0 -12.0 -1.0 0.21
0.0 2.0 1.0 0.37
0.0 0.0 1.0 0.34
0.0 12.0 1.0 0.28
0.0 -5.0 -1.0 0.41
0.0 -2.0 -1.0 0.26
0.0 -8.0 1.0 0.23
0.0 -12.0 -1.0 0.26
0.0 8.0 1.0 0.19
0.0 2.0 1.0 0.37
0.0 -5.0 1.0 0.33
0.0 -8.0 -1.0 0.44
0.0 -2.0 -1.0 0.44
0.0 0.0 1.0 0.29
0.0 12.0 1.0 0.29
0.0 5.0 -1.0 0.17
0.0 0.0 -1.0 0.39
0.0 -12.0 -1.0 0.31
0.0 5.0 1.0 0.38
0.0 8.0 1.0 0.31
0.0 12.0 -1.0 0.21
0.0 -8.0 -1.0 0.34
0.0 -2.0 1.0 0.27
0.0 2.0 1.0 0.25
0.0 -5.0 1.0 0.31
0.0 -8.0 -1.0 0.31
0.0 0.0 1.0 0.36
0.0 8.0 1.0 0.26
0.0 5.0 1.0 0.37
0.0 12.0 1.0 0.26
0.0 2.0 -1.0 0.40
0.0 -5.0 -1.0 0.32
0.0 -12.0 -1.0 0.28
0.0 -2.0 -1.0 0.43
0.0 -2.0 -1.0 0.23
0.0 -8.0 -1.0 0.26
0.0 12.0 1.0 0.32
0.0 2.0 1.0 0.63
0.0 8.0 1.0 0.28
0.0 -5.0 -1.0 0.25
0.0 5.0 1.0 0.37
0.0 0.0 -1.0 0.27
0.0 -12.0 -1.0 0.25
0.0 0.0 1.0 0.35
0.0 -8.0 -1.0 0.32
0.0 -12.0 -1.0 0.22
0.0 5.0 1.0 0.33
0.0 8.0 1.0 0.28
0.0 2.0 1.0 0.35
0.0 12.0 1.0 0.21
0.0 -5.0 -1.0 0.31
0.0 -2.0 -1.0 0.37
0.0 0.0 -1.0 0.38
0.0 5.0 1.0 0.35
0.0 2.0 1.0 0.40
0.0 -5.0 -1.0 0.28
0.0 8.0 1.0 0.30
0.0 -2.0 -1.0 0.30
0.0 -12.0 -1.0 0.27
0.0 12.0 1.0 0.23
0.0 -8.0 -1.0 0.23
0.0 -5.0 -1.0 0.27
0.0 -8.0 1.0 0.31
0.0 12.0 1.0 0.34
0.0 2.0 1.0 0.34
0.0 -12.0 -1.0 0.20
0.0 8.0 1.0 0.37
0.0 -2.0 1.0 0.47
0.0 0.0 1.0 0.42
0.0 5.0 1.0 0.21
