Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 8;
nRepetitions = 10;
condition = tilt15;
location = v;
expDate = 2016_Mar_24_1116;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
5.0 8.0 1.0 0.73
25.0 3.0 -1.0 0.83
40.0 5.0 -1.0 0.98
-45.0 18.0 1.0 0.42
-10.0 1.0 1.0 0.60
-40.0 3.0 1.0 0.63
-10.0 -7.0 -1.0 0.46
20.0 18.0 1.0 0.44
40.0 -7.0 -1.0 0.48
15.0 -7.0 -1.0 0.50
15.0 1.0 -1.0 0.49
-35.0 -7.0 -1.0 0.42
20.0 -7.0 -1.0 0.39
-30.0 1.0 1.0 0.58
15.0 8.0 1.0 0.44
-5.0 3.0 1.0 0.51
-25.0 5.0 1.0 0.38
25.0 -2.0 -1.0 0.48
10.0 -2.0 -1.0 0.39
30.0 18.0 1.0 0.33
-40.0 -12.0 -1.0 0.32
40.0 8.0 1.0 0.40
-5.0 -2.0 -1.0 0.31
15.0 -12.0 -1.0 0.45
25.0 1.0 -1.0 0.50
5.0 -2.0 -1.0 0.43
20.0 3.0 -1.0 0.39
0.0 1.0 1.0 0.53
-5.0 -12.0 -1.0 0.38
-5.0 -7.0 -1.0 0.29
20.0 1.0 -1.0 0.37
-25.0 1.0 1.0 0.58
-10.0 8.0 1.0 0.43
10.0 18.0 1.0 0.39
35.0 18.0 1.0 0.30
5.0 18.0 1.0 0.28
35.0 3.0 -1.0 0.56
35.0 -2.0 -1.0 0.41
30.0 3.0 -1.0 0.59
25.0 5.0 -1.0 0.48
15.0 18.0 1.0 0.40
-15.0 -2.0 1.0 0.62
-5.0 13.0 1.0 0.38
-45.0 -12.0 -1.0 0.39
40.0 13.0 1.0 0.54
25.0 -12.0 -1.0 0.42
0.0 -7.0 -1.0 0.42
-25.0 -12.0 -1.0 0.47
35.0 -7.0 -1.0 0.47
-40.0 18.0 1.0 0.39
30.0 8.0 1.0 0.37
-10.0 -2.0 1.0 0.42
-35.0 8.0 1.0 0.36
25.0 -7.0 -1.0 0.45
10.0 -12.0 -1.0 0.36
20.0 -2.0 -1.0 0.36
-15.0 -7.0 -1.0 0.56
-35.0 -12.0 -1.0 0.41
5.0 1.0 -1.0 0.45
35.0 5.0 -1.0 0.46
-40.0 8.0 1.0 0.56
-30.0 3.0 1.0 0.56
10.0 8.0 1.0 0.46
15.0 3.0 -1.0 0.57
-40.0 -2.0 -1.0 0.43
-5.0 1.0 -1.0 0.52
30.0 -12.0 -1.0 0.39
-15.0 8.0 1.0 0.40
5.0 5.0 1.0 0.51
0.0 5.0 1.0 0.61
-45.0 -7.0 -1.0 0.36
0.0 8.0 1.0 0.35
-15.0 5.0 1.0 0.38
20.0 -12.0 -1.0 0.42
0.0 13.0 1.0 0.31
-15.0 3.0 1.0 0.44
-30.0 18.0 1.0 0.49
-30.0 -7.0 1.0 0.84
20.0 8.0 1.0 0.82
-5.0 8.0 1.0 0.44
-25.0 -2.0 1.0 0.76
-10.0 3.0 1.0 0.56
-5.0 18.0 1.0 0.36
-20.0 -12.0 -1.0 0.55
15.0 5.0 -1.0 0.83
35.0 13.0 -1.0 0.85
-45.0 1.0 -1.0 0.60
-25.0 3.0 -1.0 0.56
-45.0 8.0 -1.0 0.56
5.0 13.0 1.0 0.43
30.0 5.0 1.0 1.36
15.0 -2.0 -1.0 0.42
-10.0 18.0 1.0 0.42
5.0 -12.0 -1.0 0.29
25.0 8.0 -1.0 0.62
-35.0 13.0 -1.0 0.63
-35.0 18.0 1.0 0.40
30.0 1.0 -1.0 0.48
-45.0 13.0 1.0 0.54
-25.0 8.0 1.0 0.46
-35.0 3.0 -1.0 0.59
-35.0 1.0 -1.0 0.42
10.0 13.0 1.0 0.40
-20.0 3.0 -1.0 0.76
10.0 5.0 -1.0 0.43
-15.0 -12.0 -1.0 0.43
30.0 -2.0 -1.0 0.41
40.0 1.0 -1.0 0.62
40.0 -12.0 -1.0 0.40
-30.0 8.0 1.0 0.49
-20.0 18.0 1.0 0.37
20.0 5.0 -1.0 0.49
30.0 13.0 -1.0 1.00
-25.0 -7.0 -1.0 0.45
-20.0 1.0 -1.0 0.63
40.0 -2.0 -1.0 0.66
-45.0 5.0 -1.0 0.28
-30.0 5.0 -1.0 0.70
-20.0 8.0 1.0 0.58
35.0 -12.0 -1.0 0.35
40.0 18.0 1.0 0.43
35.0 8.0 1.0 0.53
-40.0 5.0 1.0 0.75
5.0 3.0 -1.0 0.96
-25.0 13.0 1.0 0.42
-20.0 -7.0 -1.0 0.49
10.0 -7.0 -1.0 0.44
15.0 13.0 1.0 0.54
-35.0 -2.0 1.0 0.58
0.0 -12.0 -1.0 0.41
-20.0 5.0 1.0 0.43
0.0 18.0 1.0 0.47
-30.0 -2.0 1.0 0.73
-10.0 -12.0 -1.0 0.40
-15.0 1.0 1.0 0.40
25.0 13.0 1.0 0.38
-45.0 -2.0 1.0 0.55
5.0 -7.0 -1.0 0.40
-30.0 -12.0 -1.0 0.40
35.0 1.0 -1.0 0.33
-25.0 18.0 1.0 0.41
10.0 1.0 -1.0 0.43
-5.0 5.0 1.0 0.46
-40.0 -7.0 -1.0 0.49
-40.0 1.0 1.0 0.42
