Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 6;
nRepetitions = 10;
condition = tilt30;
location = v;
expDate = 2016_Feb_29_1008;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-10.0 -3.0 -1.0 0.82
-45.0 4.0 1.0 0.59
30.0 -8.0 -1.0 0.44
15.0 17.0 1.0 0.43
-25.0 -13.0 -1.0 0.38
-40.0 2.0 -1.0 0.64
-25.0 0.0 -1.0 0.46
40.0 -13.0 -1.0 0.33
-15.0 -13.0 -1.0 0.36
-15.0 -8.0 -1.0 0.38
35.0 7.0 1.0 0.38
-15.0 7.0 1.0 0.34
35.0 4.0 -1.0 0.42
-45.0 7.0 1.0 0.66
-5.0 4.0 1.0 0.37
-40.0 -8.0 -1.0 0.41
-35.0 17.0 1.0 0.36
20.0 0.0 -1.0 0.51
-35.0 0.0 -1.0 0.88
-25.0 2.0 1.0 0.41
-40.0 7.0 1.0 0.44
-5.0 17.0 1.0 0.30
10.0 17.0 1.0 0.37
-10.0 12.0 1.0 0.40
-15.0 0.0 -1.0 0.44
-30.0 -13.0 -1.0 0.38
-45.0 2.0 1.0 0.54
20.0 -13.0 -1.0 0.49
-40.0 -13.0 -1.0 0.38
25.0 4.0 1.0 0.37
35.0 -8.0 -1.0 0.48
0.0 4.0 1.0 0.34
5.0 7.0 1.0 0.36
20.0 2.0 1.0 0.39
20.0 4.0 1.0 0.37
15.0 12.0 1.0 0.33
30.0 0.0 1.0 0.72
0.0 2.0 1.0 0.38
-5.0 12.0 1.0 0.40
0.0 -3.0 1.0 0.71
30.0 2.0 1.0 0.51
5.0 4.0 1.0 0.35
-30.0 2.0 1.0 0.50
15.0 -13.0 -1.0 0.37
-5.0 -3.0 1.0 0.70
-30.0 17.0 1.0 0.37
35.0 2.0 1.0 0.80
-15.0 4.0 1.0 0.36
0.0 17.0 1.0 0.37
10.0 -8.0 -1.0 0.45
-40.0 17.0 1.0 0.37
-10.0 17.0 1.0 0.33
20.0 7.0 1.0 0.27
35.0 -13.0 -1.0 0.41
40.0 2.0 1.0 0.47
5.0 2.0 1.0 0.39
15.0 2.0 1.0 0.40
-5.0 7.0 1.0 0.32
-10.0 2.0 1.0 0.31
-20.0 -8.0 -1.0 0.40
-20.0 7.0 1.0 0.33
-45.0 12.0 1.0 0.35
25.0 -8.0 -1.0 0.30
30.0 7.0 1.0 0.33
10.0 2.0 1.0 0.33
-40.0 0.0 1.0 0.37
-20.0 2.0 1.0 0.35
-10.0 0.0 1.0 0.39
15.0 -8.0 1.0 0.38
-25.0 -8.0 -1.0 0.41
-45.0 -13.0 -1.0 0.34
-20.0 17.0 1.0 0.38
-25.0 12.0 1.0 0.34
-5.0 0.0 -1.0 0.46
-15.0 12.0 1.0 0.41
-25.0 7.0 1.0 0.35
-5.0 2.0 1.0 0.58
-5.0 -8.0 1.0 0.83
-40.0 4.0 1.0 0.51
-45.0 0.0 1.0 0.63
15.0 0.0 1.0 0.50
15.0 7.0 1.0 0.40
-15.0 17.0 1.0 0.39
0.0 7.0 1.0 0.33
-30.0 12.0 1.0 0.31
-20.0 12.0 1.0 0.37
10.0 7.0 1.0 0.67
40.0 0.0 1.0 0.67
-45.0 -3.0 1.0 0.39
-30.0 7.0 1.0 0.44
30.0 4.0 1.0 0.40
-20.0 0.0 1.0 0.35
-45.0 17.0 1.0 0.37
20.0 -3.0 1.0 0.64
30.0 -3.0 1.0 0.51
25.0 7.0 1.0 0.47
-20.0 -13.0 -1.0 0.72
-40.0 -3.0 -1.0 0.46
5.0 12.0 1.0 0.40
-10.0 7.0 1.0 0.61
5.0 -3.0 1.0 0.72
30.0 17.0 1.0 0.36
-10.0 4.0 1.0 0.36
20.0 17.0 1.0 0.57
-10.0 -13.0 -1.0 0.53
25.0 -3.0 -1.0 0.40
-35.0 12.0 1.0 0.37
25.0 -13.0 -1.0 0.33
35.0 17.0 1.0 0.38
-30.0 4.0 1.0 0.88
10.0 0.0 1.0 0.59
30.0 12.0 1.0 0.41
-45.0 -8.0 -1.0 1.10
40.0 -3.0 -1.0 0.40
25.0 17.0 1.0 0.52
20.0 12.0 1.0 0.45
-35.0 -3.0 -1.0 1.16
0.0 -8.0 -1.0 0.50
-35.0 -8.0 -1.0 0.50
-40.0 12.0 1.0 0.52
5.0 17.0 1.0 0.30
40.0 17.0 1.0 0.34
35.0 12.0 1.0 0.35
-35.0 7.0 1.0 0.33
-15.0 -3.0 -1.0 0.64
-30.0 -3.0 -1.0 0.60
-30.0 0.0 -1.0 0.51
5.0 -13.0 -1.0 0.41
0.0 -13.0 -1.0 0.41
15.0 4.0 1.0 0.45
5.0 0.0 1.0 0.46
25.0 2.0 1.0 0.47
-35.0 2.0 1.0 0.48
0.0 12.0 1.0 0.50
-20.0 4.0 1.0 0.40
40.0 4.0 1.0 0.52
10.0 -3.0 1.0 0.62
-25.0 4.0 1.0 0.43
-25.0 -3.0 1.0 0.39
40.0 -8.0 -1.0 0.55
10.0 -13.0 -1.0 0.40
40.0 12.0 1.0 0.47
20.0 -8.0 -1.0 0.45
35.0 -3.0 -1.0 0.53
-15.0 2.0 1.0 0.41
-25.0 17.0 1.0 0.42
35.0 0.0 1.0 0.38
