Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 9;
nRepetitions = 10;
condition = tilt15;
location = v;
expDate = 2016_Mar_10_1124;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
25.0 -17.5 -1.0 0.46
0.0 -7.5 -1.0 0.36
-45.0 -17.5 -1.0 0.29
5.0 -12.5 -1.0 0.31
5.0 -2.5 -1.0 0.59
40.0 -7.5 -1.0 0.41
-10.0 -4.5 1.0 0.83
15.0 -4.5 -1.0 0.48
20.0 -12.5 -1.0 0.41
-20.0 -17.5 -1.0 0.42
10.0 -2.5 -1.0 0.52
40.0 2.5 1.0 0.55
-5.0 -4.5 -1.0 0.86
-10.0 2.5 1.0 0.45
5.0 -17.5 -1.0 0.39
15.0 7.5 1.0 0.44
15.0 -12.5 -1.0 0.39
30.0 2.5 1.0 0.41
-5.0 -17.5 -1.0 0.35
0.0 12.5 1.0 0.27
-15.0 -7.5 -1.0 0.40
-40.0 7.5 1.0 0.27
-5.0 12.5 1.0 0.50
-10.0 -2.5 -1.0 0.35
-35.0 7.5 1.0 0.42
-15.0 -2.5 1.0 0.67
20.0 -0.5 1.0 0.69
20.0 -7.5 -1.0 0.37
20.0 -4.5 -1.0 0.32
-45.0 -0.5 1.0 0.80
40.0 -4.5 -1.0 0.38
40.0 7.5 1.0 0.46
-10.0 12.5 1.0 0.45
0.0 -17.5 -1.0 0.43
-35.0 -17.5 -1.0 0.34
-15.0 -12.5 -1.0 0.36
-30.0 2.5 1.0 0.41
10.0 -7.5 -1.0 0.40
-30.0 -2.5 -1.0 0.56
35.0 -4.5 -1.0 0.50
35.0 -17.5 -1.0 0.47
-25.0 -4.5 -1.0 0.37
-5.0 -0.5 1.0 0.47
30.0 -0.5 1.0 0.63
5.0 7.5 1.0 0.40
-35.0 -7.5 -1.0 0.60
-45.0 -7.5 -1.0 0.31
-40.0 12.5 1.0 0.39
25.0 -2.5 -1.0 0.41
-35.0 -4.5 -1.0 0.37
10.0 -17.5 -1.0 0.41
-5.0 2.5 1.0 0.40
25.0 2.5 1.0 0.52
0.0 7.5 1.0 0.36
15.0 12.5 1.0 0.31
-25.0 -0.5 1.0 0.30
-15.0 2.5 1.0 0.44
-20.0 -0.5 1.0 0.38
10.0 -4.5 -1.0 0.42
-10.0 -17.5 -1.0 0.34
30.0 -17.5 -1.0 0.29
40.0 -12.5 -1.0 0.39
25.0 -0.5 -1.0 0.56
40.0 12.5 1.0 0.36
35.0 12.5 1.0 0.28
-30.0 -7.5 -1.0 0.44
-20.0 2.5 1.0 0.35
5.0 -4.5 -1.0 0.33
-45.0 -4.5 -1.0 0.38
-20.0 -7.5 1.0 0.33
35.0 -12.5 -1.0 0.28
30.0 -2.5 -1.0 0.37
-20.0 -12.5 -1.0 0.35
0.0 -0.5 1.0 0.73
-40.0 -2.5 -1.0 1.07
-15.0 -17.5 -1.0 0.38
-25.0 -12.5 -1.0 0.40
-15.0 -0.5 1.0 0.87
-5.0 -2.5 1.0 0.62
35.0 2.5 1.0 0.51
-30.0 -17.5 -1.0 0.40
-20.0 -4.5 -1.0 0.61
35.0 -0.5 -1.0 0.84
-30.0 -0.5 -1.0 0.98
25.0 -7.5 -1.0 0.45
30.0 12.5 1.0 0.49
15.0 -17.5 -1.0 0.50
40.0 -0.5 1.0 0.47
-25.0 -7.5 -1.0 0.47
-45.0 -2.5 1.0 0.61
-35.0 2.5 1.0 0.49
10.0 2.5 1.0 0.44
-45.0 12.5 1.0 0.39
25.0 -4.5 -1.0 0.42
-10.0 7.5 1.0 0.30
-40.0 2.5 1.0 0.58
15.0 -7.5 -1.0 0.43
-30.0 -4.5 -1.0 0.59
-5.0 -12.5 -1.0 0.31
-40.0 -4.5 -1.0 0.42
5.0 12.5 1.0 0.33
-15.0 12.5 1.0 0.31
35.0 -7.5 -1.0 0.38
5.0 -7.5 -1.0 0.34
20.0 -2.5 -1.0 0.39
40.0 -17.5 -1.0 0.40
0.0 -4.5 -1.0 0.54
0.0 2.5 1.0 0.43
-30.0 7.5 1.0 0.31
-5.0 -7.5 -1.0 0.49
30.0 -12.5 -1.0 0.44
25.0 7.5 1.0 0.37
15.0 2.5 1.0 0.66
-40.0 -0.5 1.0 0.99
-20.0 12.5 1.0 0.76
5.0 2.5 1.0 0.56
10.0 7.5 1.0 0.45
-40.0 -12.5 -1.0 0.43
-10.0 -0.5 1.0 0.96
-45.0 2.5 1.0 0.50
30.0 7.5 1.0 0.50
30.0 -4.5 -1.0 0.65
-30.0 12.5 1.0 0.48
25.0 12.5 1.0 0.56
-10.0 -12.5 -1.0 0.43
10.0 -0.5 -1.0 0.53
-35.0 -12.5 -1.0 0.43
-35.0 12.5 1.0 0.47
5.0 -0.5 -1.0 0.43
15.0 -2.5 -1.0 0.41
-25.0 7.5 1.0 0.54
-35.0 -2.5 -1.0 0.71
0.0 -2.5 -1.0 0.50
20.0 2.5 -1.0 0.53
10.0 -12.5 -1.0 0.45
-45.0 7.5 1.0 0.41
20.0 12.5 1.0 0.46
20.0 -17.5 -1.0 0.43
10.0 12.5 1.0 0.45
0.0 -12.5 -1.0 0.45
-5.0 7.5 1.0 0.34
40.0 -2.5 1.0 0.79
