Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 15;
nRepetitions = 10;
condition = tilt30;
location = v;
expDate = 2016_Apr_11_1120;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
20.0 4.0 -1.0 0.69
-15.0 17.0 1.0 0.63
30.0 -3.0 -1.0 0.59
-5.0 -3.0 -1.0 0.63
35.0 4.0 -1.0 0.75
35.0 17.0 1.0 0.29
20.0 7.0 1.0 0.33
0.0 12.0 1.0 0.55
25.0 -13.0 -1.0 0.56
15.0 7.0 -1.0 0.92
15.0 4.0 -1.0 0.70
-40.0 -13.0 -1.0 0.64
-15.0 0.0 1.0 0.96
0.0 7.0 1.0 0.49
-40.0 -3.0 -1.0 0.52
35.0 -8.0 -1.0 0.37
-15.0 -13.0 -1.0 0.47
25.0 7.0 1.0 0.60
-40.0 4.0 1.0 0.60
-15.0 12.0 1.0 0.56
-20.0 -3.0 1.0 0.81
-40.0 12.0 1.0 0.63
25.0 0.0 1.0 1.07
-45.0 0.0 -1.0 0.63
15.0 12.0 1.0 0.40
25.0 4.0 1.0 0.45
-20.0 7.0 1.0 0.57
-15.0 -3.0 1.0 0.48
20.0 0.0 -1.0 0.39
25.0 -3.0 -1.0 1.19
5.0 17.0 1.0 0.71
20.0 12.0 1.0 0.64
-20.0 4.0 1.0 0.61
-5.0 -13.0 -1.0 0.62
-45.0 -8.0 -1.0 0.47
5.0 -8.0 -1.0 0.46
-25.0 -8.0 -1.0 0.98
35.0 7.0 1.0 1.26
30.0 -13.0 -1.0 0.61
-20.0 12.0 1.0 0.58
-30.0 17.0 1.0 0.44
-25.0 2.0 1.0 0.59
15.0 -8.0 -1.0 0.48
10.0 -8.0 -1.0 0.37
-15.0 2.0 1.0 0.59
-45.0 4.0 1.0 0.50
-40.0 17.0 1.0 0.45
-5.0 -8.0 -1.0 0.63
40.0 17.0 1.0 0.43
5.0 2.0 -1.0 1.07
-5.0 2.0 1.0 0.78
40.0 -8.0 -1.0 0.55
10.0 2.0 -1.0 0.91
25.0 2.0 -1.0 0.52
-10.0 2.0 1.0 0.63
15.0 17.0 1.0 0.33
5.0 4.0 1.0 0.65
0.0 0.0 -1.0 0.43
-45.0 2.0 -1.0 0.44
5.0 12.0 1.0 0.54
-35.0 12.0 1.0 0.49
35.0 2.0 -1.0 0.78
-20.0 17.0 1.0 0.45
-45.0 12.0 1.0 0.42
-30.0 0.0 -1.0 0.73
-10.0 7.0 1.0 0.51
-5.0 0.0 -1.0 1.23
-35.0 -8.0 -1.0 0.49
-35.0 -13.0 -1.0 0.47
-10.0 -3.0 -1.0 1.46
35.0 12.0 1.0 0.43
-20.0 2.0 1.0 0.86
-10.0 0.0 1.0 1.00
30.0 0.0 -1.0 1.03
-5.0 17.0 1.0 0.45
10.0 0.0 -1.0 0.54
25.0 -8.0 -1.0 0.48
20.0 -8.0 -1.0 0.40
15.0 -3.0 -1.0 0.43
-35.0 2.0 1.0 0.59
40.0 -3.0 -1.0 1.82
-5.0 4.0 1.0 0.50
-40.0 0.0 1.0 0.78
5.0 -3.0 -1.0 0.63
-25.0 17.0 1.0 0.63
30.0 12.0 1.0 0.46
-15.0 4.0 1.0 0.80
-45.0 -3.0 -1.0 0.90
30.0 2.0 1.0 0.25
-35.0 7.0 1.0 0.59
35.0 0.0 -1.0 1.65
0.0 -13.0 -1.0 0.63
-20.0 -13.0 -1.0 0.43
-15.0 -8.0 -1.0 0.37
-25.0 4.0 1.0 0.38
0.0 2.0 1.0 0.88
-40.0 7.0 1.0 0.62
0.0 4.0 1.0 0.63
-30.0 -13.0 -1.0 0.46
-25.0 -3.0 -1.0 1.25
10.0 7.0 1.0 0.91
10.0 -3.0 -1.0 0.60
30.0 -8.0 -1.0 0.37
-35.0 4.0 1.0 1.10
-45.0 -13.0 -1.0 0.49
5.0 7.0 1.0 0.81
40.0 12.0 1.0 0.53
25.0 17.0 1.0 0.42
-35.0 0.0 -1.0 0.60
25.0 12.0 1.0 0.38
30.0 4.0 1.0 0.89
-25.0 7.0 1.0 0.65
-5.0 7.0 1.0 0.66
10.0 4.0 1.0 1.38
-40.0 2.0 -1.0 0.71
40.0 -13.0 -1.0 0.50
35.0 -13.0 -1.0 0.63
10.0 17.0 1.0 0.50
20.0 -13.0 -1.0 0.55
-45.0 7.0 1.0 0.67
15.0 0.0 -1.0 1.46
-15.0 7.0 1.0 0.51
0.0 -3.0 -1.0 0.62
-30.0 4.0 1.0 0.56
0.0 -8.0 -1.0 0.49
15.0 -13.0 -1.0 0.49
40.0 4.0 -1.0 1.26
5.0 0.0 -1.0 0.66
20.0 -3.0 -1.0 0.83
-30.0 -3.0 -1.0 0.84
-10.0 4.0 1.0 0.64
15.0 2.0 -1.0 1.40
-30.0 2.0 1.0 1.14
-45.0 17.0 1.0 0.57
-25.0 -13.0 -1.0 0.51
40.0 7.0 1.0 0.74
-20.0 0.0 1.0 0.40
20.0 17.0 1.0 0.76
-35.0 -3.0 -1.0 0.55
-20.0 -8.0 -1.0 0.55
-5.0 12.0 1.0 0.46
10.0 12.0 1.0 0.40
-10.0 -13.0 -1.0 0.52
5.0 -13.0 -1.0 0.40
-25.0 12.0 1.0 0.78
