Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 16;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Apr_13_1337;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
30.0 -17.0 -1.0 0.62
20.0 3.0 1.0 0.63
25.0 -7.0 -1.0 0.58
-45.0 -7.0 -1.0 0.47
-10.0 -17.0 -1.0 0.44
25.0 0.0 1.0 0.56
20.0 -7.0 -1.0 0.88
0.0 -5.0 -1.0 0.50
30.0 -3.0 1.0 0.80
-10.0 3.0 1.0 0.50
25.0 -5.0 -1.0 0.77
5.0 0.0 1.0 0.61
0.0 -13.0 -1.0 0.72
-20.0 3.0 1.0 0.83
30.0 -7.0 -1.0 0.86
-5.0 -10.0 -1.0 0.66
40.0 -5.0 -1.0 0.90
30.0 -10.0 -1.0 1.07
10.0 -17.0 -1.0 0.59
30.0 7.0 1.0 0.67
10.0 -3.0 1.0 0.64
35.0 -10.0 -1.0 0.72
40.0 3.0 1.0 0.73
15.0 -5.0 1.0 0.99
-45.0 -13.0 -1.0 0.54
-15.0 -17.0 -1.0 0.50
10.0 -10.0 -1.0 0.65
-25.0 -3.0 1.0 0.77
15.0 0.0 1.0 0.92
-10.0 -7.0 -1.0 0.69
5.0 -7.0 -1.0 0.53
-30.0 0.0 1.0 0.74
-35.0 -7.0 -1.0 1.18
-35.0 7.0 1.0 0.62
5.0 -3.0 -1.0 0.79
10.0 0.0 -1.0 0.79
-45.0 3.0 1.0 0.68
-40.0 -5.0 -1.0 0.72
20.0 -17.0 -1.0 0.47
-45.0 -10.0 -1.0 0.60
0.0 7.0 1.0 0.62
-5.0 -5.0 1.0 0.71
-40.0 7.0 1.0 0.59
10.0 -5.0 -1.0 0.69
30.0 -13.0 -1.0 0.40
15.0 -17.0 -1.0 0.58
-15.0 7.0 1.0 0.59
-20.0 -3.0 1.0 0.91
-40.0 -17.0 -1.0 0.72
-20.0 7.0 1.0 0.62
-40.0 3.0 1.0 0.45
0.0 -10.0 -1.0 0.64
-30.0 -5.0 1.0 0.68
-20.0 -10.0 1.0 0.66
-15.0 -3.0 1.0 0.44
-10.0 -13.0 -1.0 0.81
40.0 7.0 1.0 0.64
-25.0 7.0 1.0 0.50
