Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 16;
nRepetitions = 10;
condition = tilt30;
location = v;
expDate = 2016_Apr_13_1443;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-25.0 -1.0 1.0 0.40
-30.0 9.0 1.0 0.36
-45.0 -21.0 -1.0 0.54
-35.0 4.0 1.0 0.54
-25.0 -21.0 -1.0 0.68
40.0 -11.0 -1.0 0.71
10.0 9.0 1.0 0.59
25.0 -1.0 1.0 0.48
-20.0 -11.0 -1.0 1.01
30.0 -11.0 -1.0 0.69
-30.0 -8.0 -1.0 0.61
10.0 -8.0 -1.0 0.78
20.0 -1.0 1.0 1.03
35.0 -16.0 -1.0 0.75
-20.0 -1.0 1.0 0.61
5.0 -11.0 -1.0 0.70
15.0 -16.0 -1.0 0.49
30.0 -1.0 1.0 0.70
-35.0 -6.0 -1.0 1.00
0.0 -6.0 -1.0 0.99
30.0 9.0 1.0 0.53
25.0 -16.0 -1.0 0.82
40.0 -21.0 -1.0 0.55
0.0 4.0 1.0 0.51
-25.0 -8.0 1.0 0.44
-15.0 9.0 1.0 0.43
-35.0 -11.0 -1.0 0.59
0.0 -8.0 -1.0 0.76
-20.0 -4.0 -1.0 1.62
-30.0 -4.0 1.0 0.58
25.0 -21.0 -1.0 0.64
-40.0 -6.0 1.0 0.64
10.0 -11.0 -1.0 0.80
25.0 4.0 -1.0 1.19
-25.0 9.0 1.0 0.57
-20.0 -8.0 -1.0 1.11
10.0 -4.0 -1.0 0.66
-5.0 -11.0 -1.0 0.51
5.0 -1.0 -1.0 0.77
40.0 -1.0 -1.0 0.86
25.0 -11.0 -1.0 0.55
-15.0 4.0 1.0 0.69
-20.0 9.0 1.0 0.49
-35.0 -16.0 -1.0 0.83
-5.0 -16.0 -1.0 0.55
15.0 -1.0 1.0 0.65
30.0 -8.0 1.0 1.27
0.0 9.0 1.0 0.47
20.0 4.0 1.0 0.67
-45.0 -11.0 1.0 0.42
30.0 -16.0 -1.0 0.80
10.0 -21.0 -1.0 0.46
40.0 -16.0 -1.0 0.46
-15.0 -11.0 -1.0 0.67
40.0 -4.0 1.0 1.19
15.0 -4.0 1.0 0.46
25.0 9.0 1.0 0.39
-25.0 -11.0 -1.0 1.37
5.0 -8.0 -1.0 0.42
20.0 -16.0 -1.0 0.39
15.0 4.0 1.0 0.64
15.0 9.0 1.0 0.50
10.0 -1.0 -1.0 1.24
-35.0 -4.0 -1.0 0.40
-15.0 -21.0 -1.0 0.40
-45.0 9.0 1.0 0.56
40.0 -8.0 1.0 0.41
40.0 9.0 1.0 0.53
-5.0 -6.0 -1.0 0.77
0.0 -16.0 -1.0 0.57
15.0 -21.0 -1.0 0.76
-35.0 -21.0 -1.0 0.45
-40.0 -8.0 -1.0 1.26
20.0 -11.0 -1.0 0.49
-40.0 -11.0 -1.0 0.47
-15.0 -8.0 -1.0 0.42
-30.0 -21.0 -1.0 0.44
-20.0 -6.0 1.0 0.68
0.0 -4.0 1.0 0.42
10.0 4.0 1.0 0.37
