Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 10;
nRepetitions = 10;
condition = tilt30;
location = v;
expDate = 2016_Feb_29_1539;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-35.0 1.0 -1.0 1.46
40.0 -1.0 -1.0 0.78
-40.0 -6.0 -1.0 0.48
-30.0 -16.0 -1.0 0.50
-15.0 -11.0 -1.0 0.77
20.0 -1.0 -1.0 0.67
30.0 4.0 1.0 0.60
0.0 1.0 1.0 0.90
40.0 4.0 1.0 0.64
-15.0 4.0 1.0 1.15
15.0 1.0 1.0 0.75
30.0 1.0 1.0 0.61
-25.0 -3.0 -1.0 0.80
0.0 -11.0 -1.0 0.46
20.0 -16.0 -1.0 0.39
-20.0 9.0 1.0 0.73
-15.0 -3.0 -1.0 0.87
20.0 1.0 -1.0 0.59
-35.0 -6.0 -1.0 0.48
-15.0 -16.0 -1.0 0.46
20.0 -6.0 -1.0 0.37
0.0 14.0 1.0 0.74
10.0 1.0 -1.0 0.65
-25.0 -16.0 -1.0 0.48
-5.0 -16.0 -1.0 0.36
-40.0 -16.0 -1.0 0.44
35.0 14.0 1.0 0.76
25.0 14.0 1.0 0.52
-45.0 14.0 1.0 0.50
-35.0 9.0 1.0 0.56
15.0 -16.0 -1.0 0.54
0.0 -6.0 -1.0 0.62
15.0 -6.0 -1.0 0.46
30.0 9.0 1.0 0.86
-5.0 -6.0 -1.0 0.87
10.0 14.0 1.0 0.52
25.0 -3.0 -1.0 0.53
-5.0 -11.0 -1.0 0.53
-25.0 1.0 1.0 0.57
-45.0 9.0 1.0 0.44
-15.0 1.0 1.0 0.85
40.0 -6.0 -1.0 0.38
0.0 -1.0 -1.0 0.66
0.0 4.0 1.0 0.62
25.0 -6.0 -1.0 0.53
20.0 4.0 -1.0 0.68
-30.0 -3.0 -1.0 0.77
40.0 14.0 1.0 0.47
-20.0 -6.0 1.0 0.97
-30.0 14.0 1.0 0.48
10.0 -3.0 -1.0 0.52
-15.0 -6.0 -1.0 0.69
30.0 -3.0 -1.0 0.60
30.0 -11.0 -1.0 0.48
5.0 -3.0 -1.0 0.53
-5.0 -1.0 1.0 0.68
25.0 -16.0 -1.0 0.58
40.0 1.0 1.0 0.68
10.0 -11.0 -1.0 0.49
-25.0 -11.0 -1.0 0.63
-20.0 14.0 1.0 0.50
15.0 -1.0 -1.0 0.52
-10.0 1.0 1.0 0.64
30.0 14.0 1.0 0.69
-10.0 -3.0 1.0 0.71
-15.0 14.0 1.0 0.62
-40.0 -3.0 -1.0 0.61
20.0 14.0 1.0 0.58
-5.0 4.0 1.0 0.48
-30.0 -1.0 1.0 0.79
-10.0 -6.0 -1.0 1.19
5.0 1.0 -1.0 0.67
25.0 -1.0 -1.0 0.49
5.0 14.0 1.0 0.61
25.0 4.0 -1.0 0.88
-40.0 -1.0 -1.0 0.43
-20.0 -3.0 -1.0 0.45
-30.0 9.0 1.0 0.45
5.0 4.0 -1.0 1.10
20.0 -3.0 -1.0 0.53
25.0 -11.0 -1.0 0.86
-35.0 -16.0 -1.0 0.47
-20.0 -16.0 -1.0 0.48
-40.0 -11.0 -1.0 0.46
35.0 -3.0 1.0 0.95
-45.0 -11.0 -1.0 0.59
25.0 9.0 1.0 0.59
-45.0 4.0 1.0 0.53
15.0 -11.0 -1.0 0.61
35.0 -11.0 -1.0 0.40
15.0 4.0 1.0 0.92
10.0 4.0 -1.0 1.35
5.0 -11.0 -1.0 0.41
-25.0 -1.0 1.0 0.57
40.0 -16.0 -1.0 0.49
20.0 9.0 1.0 0.58
-40.0 4.0 1.0 1.20
10.0 -16.0 -1.0 0.63
40.0 -3.0 1.0 0.75
-45.0 -16.0 -1.0 0.54
-10.0 -11.0 -1.0 0.78
15.0 -3.0 -1.0 0.62
-15.0 9.0 1.0 0.54
10.0 -6.0 -1.0 0.94
-25.0 14.0 1.0 0.53
-45.0 1.0 1.0 0.68
-35.0 14.0 1.0 1.30
-20.0 -1.0 1.0 0.50
30.0 -1.0 1.0 1.25
-10.0 -1.0 1.0 0.51
5.0 9.0 1.0 0.76
-40.0 1.0 1.0 0.52
15.0 9.0 1.0 0.51
35.0 -6.0 -1.0 0.86
-35.0 -3.0 1.0 1.05
-20.0 1.0 1.0 0.62
-25.0 4.0 1.0 0.49
-45.0 -1.0 1.0 0.51
-5.0 14.0 1.0 0.52
-45.0 -6.0 1.0 1.47
5.0 -1.0 -1.0 0.59
-5.0 1.0 1.0 0.76
-10.0 -16.0 -1.0 0.47
0.0 -3.0 -1.0 0.52
25.0 1.0 -1.0 0.41
35.0 4.0 1.0 0.68
-10.0 4.0 1.0 0.66
-5.0 9.0 1.0 0.52
-40.0 14.0 1.0 0.43
10.0 9.0 1.0 0.86
5.0 -6.0 -1.0 0.55
-40.0 9.0 1.0 0.58
-30.0 -6.0 -1.0 0.57
0.0 9.0 1.0 0.56
-30.0 -11.0 -1.0 0.40
30.0 -6.0 -1.0 0.61
5.0 -16.0 -1.0 0.44
35.0 9.0 1.0 0.60
35.0 1.0 1.0 0.69
40.0 -11.0 -1.0 0.50
10.0 -1.0 -1.0 0.56
0.0 -16.0 -1.0 0.38
35.0 -1.0 1.0 0.91
