Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 10;
nRepetitions = 10;
condition = tilt15;
location = v;
expDate = 2016_Feb_29_1436;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-45.0 14.0 1.0 1.23
10.0 -16.0 -1.0 0.90
-30.0 9.0 1.0 0.70
20.0 -6.0 -1.0 0.61
-5.0 -11.0 -1.0 0.76
-5.0 4.0 1.0 0.62
-10.0 1.0 1.0 1.06
-45.0 1.0 1.0 0.90
0.0 -16.0 -1.0 0.57
5.0 -1.0 -1.0 0.88
-35.0 -3.0 -1.0 1.08
10.0 -1.0 -1.0 0.57
5.0 14.0 1.0 0.70
25.0 -11.0 -1.0 0.82
0.0 14.0 1.0 0.83
25.0 -1.0 -1.0 0.90
15.0 -16.0 -1.0 0.60
-10.0 -11.0 -1.0 0.74
-35.0 -11.0 -1.0 1.03
5.0 1.0 -1.0 0.92
30.0 -16.0 -1.0 0.60
-10.0 -3.0 1.0 0.84
15.0 -6.0 -1.0 0.65
20.0 -16.0 -1.0 0.52
35.0 -3.0 -1.0 0.65
-20.0 -6.0 -1.0 0.69
-30.0 1.0 1.0 0.88
-30.0 14.0 1.0 0.51
-30.0 -11.0 -1.0 0.70
20.0 -11.0 -1.0 0.63
10.0 14.0 1.0 0.83
15.0 1.0 -1.0 0.65
40.0 14.0 1.0 0.72
-35.0 1.0 1.0 0.98
0.0 -1.0 -1.0 0.68
-15.0 -6.0 -1.0 0.79
-10.0 -16.0 -1.0 0.49
-45.0 -3.0 1.0 1.10
-10.0 14.0 1.0 0.71
-15.0 1.0 1.0 0.75
-5.0 -6.0 -1.0 0.64
-45.0 -11.0 -1.0 0.47
15.0 -1.0 -1.0 1.02
25.0 9.0 1.0 0.71
20.0 -1.0 -1.0 0.89
25.0 -3.0 -1.0 0.61
-40.0 14.0 1.0 0.76
-25.0 -6.0 -1.0 0.71
-5.0 14.0 1.0 0.56
40.0 -1.0 1.0 1.64
-20.0 4.0 1.0 0.60
-35.0 9.0 1.0 0.60
-35.0 -1.0 -1.0 0.57
-45.0 -1.0 1.0 0.68
35.0 -11.0 -1.0 0.52
-5.0 1.0 1.0 0.99
25.0 -16.0 -1.0 0.52
20.0 1.0 1.0 1.07
15.0 -3.0 1.0 2.35
30.0 -11.0 -1.0 0.60
-20.0 -11.0 -1.0 0.87
40.0 -16.0 -1.0 0.48
5.0 9.0 1.0 0.63
-40.0 -16.0 -1.0 0.51
35.0 1.0 1.0 0.68
35.0 9.0 1.0 0.61
-30.0 -16.0 -1.0 0.60
0.0 -6.0 -1.0 0.61
10.0 4.0 1.0 2.13
-5.0 -16.0 -1.0 0.49
25.0 14.0 1.0 0.67
20.0 14.0 1.0 0.81
-15.0 -16.0 -1.0 0.58
35.0 -1.0 1.0 1.12
35.0 -6.0 -1.0 0.85
30.0 4.0 1.0 0.56
30.0 -3.0 1.0 1.18
-25.0 14.0 1.0 0.50
-20.0 -16.0 -1.0 0.38
-35.0 4.0 1.0 0.77
-15.0 4.0 1.0 0.44
-25.0 1.0 1.0 0.59
-45.0 -16.0 -1.0 0.49
15.0 4.0 -1.0 1.45
-45.0 -6.0 -1.0 0.50
-10.0 4.0 1.0 0.53
-35.0 -6.0 -1.0 0.89
-25.0 4.0 1.0 0.56
5.0 -11.0 -1.0 0.47
-5.0 -3.0 1.0 0.83
30.0 14.0 1.0 0.63
-40.0 -11.0 -1.0 0.59
-20.0 14.0 1.0 0.47
5.0 4.0 1.0 0.83
-15.0 -1.0 1.0 0.55
0.0 -11.0 -1.0 0.51
-30.0 -1.0 1.0 0.60
20.0 -3.0 1.0 1.84
-20.0 1.0 1.0 0.61
25.0 -6.0 -1.0 0.63
40.0 1.0 1.0 0.70
0.0 1.0 1.0 0.66
-35.0 -16.0 -1.0 0.61
5.0 -16.0 -1.0 0.55
-25.0 -11.0 -1.0 0.69
-15.0 9.0 1.0 0.47
10.0 -11.0 -1.0 0.64
-10.0 -6.0 1.0 0.71
-30.0 -3.0 1.0 0.77
25.0 1.0 1.0 0.57
0.0 -3.0 -1.0 0.85
-40.0 1.0 1.0 0.68
20.0 4.0 1.0 0.61
-40.0 -6.0 -1.0 0.81
-45.0 4.0 1.0 0.75
5.0 -6.0 -1.0 0.58
-25.0 9.0 1.0 0.61
10.0 -3.0 -1.0 0.54
-40.0 9.0 1.0 0.49
40.0 -11.0 -1.0 0.46
-25.0 -3.0 1.0 0.53
30.0 -6.0 -1.0 0.60
35.0 4.0 1.0 0.65
-25.0 -16.0 -1.0 0.49
0.0 4.0 1.0 0.78
15.0 9.0 1.0 0.61
40.0 4.0 1.0 0.56
10.0 1.0 -1.0 0.52
0.0 9.0 1.0 0.57
-30.0 4.0 1.0 0.69
-30.0 -6.0 -1.0 0.66
-20.0 -1.0 1.0 0.78
5.0 -3.0 -1.0 0.45
40.0 -6.0 -1.0 0.48
30.0 1.0 1.0 0.85
35.0 14.0 1.0 0.73
25.0 4.0 1.0 0.71
-35.0 14.0 1.0 0.47
20.0 9.0 1.0 0.59
-20.0 9.0 1.0 0.44
-40.0 -3.0 1.0 1.69
-45.0 9.0 1.0 0.44
-25.0 -1.0 1.0 0.54
