Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 12;
nRepetitions = 10;
condition = tilt15;
location = v;
expDate = 2016_Mar_22_1015;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-25.0 2.0 -1.0 2.84
20.0 0.0 -1.0 0.67
10.0 10.0 1.0 0.72
15.0 -15.0 -1.0 0.60
-15.0 5.0 1.0 1.50
10.0 15.0 1.0 0.53
10.0 5.0 -1.0 0.83
10.0 -5.0 -1.0 0.57
-45.0 -10.0 -1.0 0.27
-10.0 -10.0 -1.0 0.35
-40.0 0.0 -1.0 0.29
0.0 2.0 -1.0 0.36
-5.0 -15.0 -1.0 0.32
-45.0 10.0 1.0 0.87
-30.0 5.0 1.0 0.90
15.0 2.0 -1.0 0.71
-20.0 15.0 1.0 2.99
-15.0 2.0 -1.0 0.98
-40.0 2.0 -1.0 0.35
40.0 -15.0 -1.0 0.26
15.0 5.0 -1.0 0.61
-5.0 2.0 -1.0 0.66
20.0 -2.0 -1.0 0.27
-45.0 5.0 -1.0 0.25
-30.0 -15.0 -1.0 0.29
-35.0 0.0 -1.0 0.60
-5.0 15.0 1.0 0.75
25.0 10.0 1.0 0.60
20.0 15.0 1.0 0.51
40.0 0.0 -1.0 0.72
-20.0 0.0 -1.0 0.67
40.0 -2.0 -1.0 0.27
30.0 -15.0 -1.0 0.31
-5.0 -10.0 -1.0 0.32
25.0 5.0 -1.0 1.18
10.0 -2.0 -1.0 0.34
-10.0 -5.0 -1.0 0.28
40.0 15.0 1.0 0.75
-40.0 -2.0 -1.0 0.77
-10.0 -2.0 -1.0 0.25
15.0 -5.0 -1.0 0.28
-15.0 15.0 1.0 0.72
-5.0 5.0 1.0 0.58
-40.0 10.0 1.0 0.45
-20.0 10.0 1.0 0.42
0.0 -5.0 -1.0 0.69
5.0 2.0 -1.0 0.64
-40.0 -15.0 -1.0 0.28
5.0 -2.0 -1.0 0.38
5.0 -5.0 -1.0 0.30
-25.0 -2.0 -1.0 0.27
-25.0 0.0 -1.0 0.25
15.0 10.0 1.0 2.29
-30.0 0.0 -1.0 0.84
30.0 -5.0 -1.0 0.30
-40.0 15.0 1.0 1.06
-10.0 0.0 -1.0 0.59
35.0 -2.0 -1.0 0.31
0.0 -15.0 -1.0 0.28
-25.0 -5.0 -1.0 0.15
0.0 0.0 -1.0 0.03
40.0 -5.0 -1.0 0.32
35.0 15.0 1.0 0.98
0.0 5.0 1.0 0.88
-10.0 10.0 1.0 0.32
35.0 -5.0 -1.0 0.68
20.0 5.0 -1.0 0.30
-45.0 -5.0 -1.0 0.34
-30.0 15.0 1.0 0.92
-20.0 2.0 -1.0 3.20
5.0 5.0 1.0 1.51
-5.0 -2.0 -1.0 0.82
-35.0 -10.0 -1.0 0.35
-20.0 -5.0 -1.0 0.32
-40.0 5.0 1.0 1.39
30.0 5.0 -1.0 1.67
35.0 -10.0 -1.0 0.41
-45.0 -15.0 -1.0 0.30
25.0 15.0 1.0 0.91
-10.0 -15.0 -1.0 0.58
-45.0 2.0 -1.0 0.61
-10.0 15.0 1.0 0.58
30.0 0.0 -1.0 1.25
0.0 -2.0 -1.0 0.37
5.0 -10.0 -1.0 0.43
5.0 15.0 1.0 0.57
20.0 -15.0 -1.0 0.56
-25.0 5.0 -1.0 1.20
40.0 2.0 -1.0 2.57
0.0 15.0 1.0 1.53
15.0 -2.0 -1.0 0.61
-15.0 -10.0 -1.0 0.51
-15.0 0.0 -1.0 0.59
25.0 -2.0 -1.0 0.44
35.0 -15.0 -1.0 0.37
-25.0 10.0 1.0 0.67
-15.0 -5.0 -1.0 0.89
-5.0 10.0 1.0 0.87
10.0 0.0 -1.0 0.61
-45.0 -2.0 -1.0 0.31
25.0 -15.0 -1.0 0.33
-30.0 10.0 -1.0 0.26
30.0 10.0 1.0 0.58
-35.0 10.0 1.0 0.59
-35.0 15.0 1.0 0.38
-20.0 5.0 1.0 0.37
-25.0 -10.0 -1.0 0.63
-15.0 10.0 1.0 0.65
-25.0 15.0 1.0 0.37
5.0 0.0 -1.0 0.66
10.0 2.0 -1.0 0.43
20.0 -5.0 -1.0 0.34
-10.0 5.0 1.0 0.86
-40.0 -10.0 -1.0 0.60
-35.0 2.0 -1.0 0.72
-30.0 2.0 -1.0 0.32
25.0 -10.0 -1.0 0.35
40.0 -10.0 -1.0 0.32
35.0 5.0 -1.0 1.97
30.0 -10.0 -1.0 0.31
35.0 0.0 -1.0 0.34
-20.0 -10.0 -1.0 0.35
20.0 10.0 1.0 1.02
10.0 -10.0 -1.0 0.77
-20.0 -15.0 -1.0 0.48
15.0 0.0 -1.0 0.33
40.0 10.0 1.0 1.06
15.0 -10.0 -1.0 0.81
-15.0 -15.0 -1.0 0.33
-15.0 -2.0 -1.0 0.29
20.0 2.0 -1.0 1.30
10.0 -15.0 -1.0 0.35
20.0 -10.0 -1.0 0.30
-5.0 -5.0 -1.0 0.35
25.0 0.0 -1.0 0.29
-35.0 5.0 -1.0 1.71
25.0 -5.0 -1.0 0.44
-5.0 0.0 -1.0 0.34
-45.0 15.0 1.0 0.90
-20.0 -2.0 -1.0 0.64
5.0 10.0 1.0 1.40
40.0 5.0 1.0 3.49
