Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 11;
nRepetitions = 10;
condition = tilt30;
location = v;
expDate = 2016_Mar_04_1553;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
40.0 -6.0 1.0 0.87
30.0 -11.0 -1.0 0.69
-45.0 9.0 1.0 0.49
5.0 -6.0 -1.0 0.44
-45.0 4.0 1.0 1.11
5.0 -16.0 -1.0 0.40
-20.0 -1.0 1.0 1.40
-45.0 -21.0 -1.0 0.56
35.0 9.0 1.0 0.57
20.0 -4.0 1.0 0.74
-10.0 4.0 1.0 0.37
35.0 -1.0 1.0 0.35
-35.0 4.0 1.0 0.28
40.0 9.0 1.0 0.29
-40.0 -16.0 -1.0 0.39
-15.0 -6.0 -1.0 0.45
-20.0 -8.0 -1.0 0.30
-15.0 -11.0 -1.0 0.37
-45.0 -1.0 -1.0 0.46
20.0 -1.0 -1.0 0.38
20.0 -16.0 -1.0 0.40
-30.0 -1.0 1.0 0.45
-30.0 -11.0 -1.0 0.48
10.0 4.0 1.0 0.45
-5.0 -11.0 1.0 0.47
15.0 -6.0 -1.0 0.64
-20.0 -16.0 -1.0 0.37
35.0 4.0 1.0 0.52
-35.0 -4.0 1.0 0.36
-35.0 -1.0 1.0 0.30
-5.0 -21.0 -1.0 0.37
5.0 9.0 1.0 0.38
-45.0 -6.0 -1.0 0.75
20.0 -21.0 -1.0 0.35
10.0 -6.0 -1.0 0.53
40.0 -1.0 -1.0 0.57
-40.0 -8.0 -1.0 0.40
-40.0 4.0 1.0 0.53
15.0 -1.0 1.0 0.52
-35.0 -21.0 -1.0 0.43
-30.0 -16.0 -1.0 0.37
40.0 -8.0 -1.0 0.39
0.0 -8.0 -1.0 0.36
-15.0 -16.0 -1.0 0.32
10.0 -1.0 -1.0 0.53
-20.0 -21.0 -1.0 0.39
-25.0 -21.0 -1.0 0.29
-35.0 -16.0 -1.0 0.31
-25.0 -11.0 -1.0 0.32
25.0 -8.0 -1.0 0.83
-5.0 -1.0 1.0 0.50
35.0 -11.0 -1.0 0.48
5.0 4.0 1.0 0.50
-30.0 -8.0 1.0 0.73
-15.0 9.0 1.0 0.37
15.0 9.0 1.0 0.33
10.0 -4.0 1.0 0.67
0.0 -16.0 -1.0 0.43
30.0 -1.0 1.0 0.57
-25.0 9.0 1.0 0.37
-25.0 -1.0 1.0 0.48
15.0 -21.0 -1.0 0.46
-25.0 -8.0 1.0 0.75
30.0 4.0 1.0 0.47
30.0 -4.0 1.0 0.58
40.0 4.0 1.0 0.39
-10.0 -11.0 -1.0 0.48
-40.0 9.0 1.0 0.46
30.0 -21.0 -1.0 0.43
15.0 4.0 1.0 0.39
-15.0 -8.0 -1.0 0.89
10.0 -8.0 -1.0 0.39
35.0 -21.0 -1.0 0.35
40.0 -11.0 -1.0 0.34
35.0 -4.0 1.0 0.53
30.0 9.0 1.0 0.31
-5.0 4.0 1.0 0.33
-5.0 9.0 1.0 0.32
25.0 4.0 1.0 0.44
5.0 -21.0 -1.0 0.37
5.0 -4.0 -1.0 0.53
-10.0 9.0 1.0 0.36
0.0 -21.0 -1.0 0.47
-30.0 -6.0 -1.0 1.12
-15.0 4.0 1.0 0.43
30.0 -16.0 -1.0 0.43
-10.0 -1.0 1.0 0.44
0.0 -4.0 -1.0 0.53
25.0 -16.0 -1.0 0.38
5.0 -1.0 -1.0 0.57
25.0 -1.0 -1.0 0.35
-40.0 -11.0 -1.0 0.35
20.0 4.0 1.0 0.54
25.0 -21.0 -1.0 0.42
-10.0 -4.0 1.0 0.76
-35.0 -8.0 1.0 0.49
-45.0 -8.0 -1.0 0.44
-30.0 4.0 1.0 0.55
-15.0 -21.0 -1.0 0.44
15.0 -8.0 -1.0 0.41
-15.0 -1.0 1.0 0.68
-30.0 -4.0 1.0 0.51
-40.0 -6.0 1.0 0.47
0.0 -1.0 1.0 0.43
10.0 9.0 1.0 0.40
-10.0 -16.0 -1.0 0.45
-25.0 -6.0 -1.0 0.36
-10.0 -6.0 -1.0 0.44
-10.0 -21.0 -1.0 0.37
-20.0 4.0 1.0 0.48
15.0 -4.0 -1.0 0.59
5.0 -8.0 -1.0 0.35
-45.0 -11.0 -1.0 0.33
30.0 -6.0 -1.0 0.27
-25.0 -16.0 -1.0 0.35
-5.0 -6.0 -1.0 0.30
0.0 -6.0 -1.0 0.42
-5.0 -8.0 -1.0 0.51
-5.0 -16.0 -1.0 0.34
-35.0 -11.0 -1.0 0.43
35.0 -6.0 -1.0 0.45
-10.0 -8.0 -1.0 0.45
-30.0 -21.0 -1.0 0.39
15.0 -11.0 -1.0 0.35
20.0 -6.0 -1.0 0.36
20.0 -11.0 -1.0 0.37
40.0 -4.0 -1.0 0.35
0.0 9.0 1.0 0.41
30.0 -8.0 -1.0 0.45
5.0 -11.0 -1.0 0.36
25.0 -6.0 -1.0 0.30
35.0 -8.0 -1.0 0.33
-5.0 -4.0 -1.0 0.44
10.0 -21.0 -1.0 0.46
25.0 -4.0 -1.0 0.45
10.0 -16.0 -1.0 0.40
-20.0 -4.0 -1.0 0.67
20.0 9.0 1.0 0.54
-45.0 -16.0 -1.0 0.54
-15.0 -4.0 1.0 0.58
0.0 4.0 1.0 0.40
