Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 11;
nRepetitions = 10;
condition = tilt15;
location = v;
expDate = 2016_Mar_04_1441;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-5.0 -14.5 -1.0 0.44
-30.0 10.5 1.0 0.86
20.0 -4.5 -1.0 1.98
35.0 -14.5 -1.0 0.50
15.0 -19.5 -1.0 0.35
35.0 -4.5 -1.0 0.53
-45.0 -19.5 -1.0 0.37
30.0 5.5 -1.0 0.60
-20.0 -14.5 -1.0 0.38
-10.0 -14.5 -1.0 0.47
-20.0 -6.5 -1.0 0.34
-10.0 -2.5 -1.0 0.34
-40.0 10.5 1.0 0.55
-5.0 5.5 1.0 0.60
0.0 10.5 1.0 0.54
-25.0 -19.5 -1.0 0.44
-15.0 5.5 1.0 0.53
10.0 0.5 -1.0 0.57
-40.0 -6.5 -1.0 0.47
10.0 -2.5 -1.0 0.33
-40.0 -2.5 -1.0 0.28
-30.0 -9.5 -1.0 0.29
5.0 -19.5 -1.0 0.29
15.0 -2.5 -1.0 0.40
-15.0 -14.5 -1.0 0.29
40.0 -9.5 -1.0 0.31
-15.0 0.5 -1.0 0.31
-30.0 -14.5 -1.0 0.67
0.0 -2.5 -1.0 0.68
-15.0 10.5 1.0 0.46
5.0 -14.5 -1.0 0.81
20.0 -14.5 -1.0 0.59
30.0 -9.5 -1.0 0.53
35.0 -19.5 -1.0 0.40
-45.0 -9.5 -1.0 0.44
-5.0 -6.5 -1.0 0.39
-10.0 -4.5 -1.0 1.71
30.0 0.5 -1.0 0.73
25.0 -2.5 -1.0 0.55
-40.0 -9.5 -1.0 0.51
35.0 5.5 -1.0 1.10
-10.0 -6.5 -1.0 0.67
10.0 10.5 1.0 0.78
0.0 -6.5 -1.0 0.44
-5.0 -2.5 1.0 1.97
40.0 5.5 1.0 0.88
25.0 -6.5 -1.0 0.78
-45.0 -6.5 -1.0 0.54
-5.0 0.5 1.0 0.57
30.0 -6.5 -1.0 1.20
25.0 5.5 1.0 0.65
-30.0 -2.5 1.0 0.93
-35.0 -2.5 1.0 1.02
0.0 -4.5 -1.0 0.64
10.0 5.5 -1.0 0.90
5.0 0.5 -1.0 1.11
5.0 -2.5 -1.0 0.64
-20.0 -19.5 -1.0 0.53
20.0 -6.5 -1.0 0.42
-25.0 -14.5 -1.0 0.57
25.0 -19.5 -1.0 0.43
-5.0 -9.5 -1.0 0.54
-10.0 5.5 1.0 0.56
-15.0 -9.5 -1.0 0.94
25.0 -9.5 -1.0 0.43
-35.0 -4.5 -1.0 0.75
10.0 -6.5 -1.0 0.45
-20.0 10.5 1.0 0.57
-10.0 0.5 1.0 0.55
-30.0 -4.5 1.0 0.46
-25.0 -6.5 1.0 0.98
30.0 -14.5 -1.0 0.47
35.0 -2.5 -1.0 0.45
15.0 0.5 -1.0 0.55
20.0 5.5 1.0 0.73
20.0 0.5 1.0 0.82
40.0 10.5 1.0 0.49
-45.0 5.5 1.0 0.47
-35.0 10.5 1.0 0.41
-15.0 -6.5 -1.0 0.50
-20.0 -4.5 1.0 0.65
25.0 -14.5 -1.0 0.44
30.0 10.5 1.0 0.45
-40.0 -4.5 -1.0 0.81
40.0 -19.5 -1.0 0.47
5.0 5.5 1.0 0.45
-35.0 0.5 1.0 0.46
