Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 7;
nRepetitions = 10;
condition = tilt30;
location = v;
expDate = 2016_Mar_29_1114;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-25.0 8.0 -1.0 4.19
-20.0 16.0 1.0 1.10
-35.0 -4.0 -1.0 0.49
10.0 -9.0 -1.0 0.57
-10.0 1.0 1.0 0.71
10.0 21.0 1.0 0.47
-10.0 6.0 1.0 0.53
40.0 21.0 1.0 0.51
40.0 -9.0 -1.0 0.48
35.0 6.0 -1.0 0.43
-10.0 16.0 1.0 0.41
40.0 11.0 -1.0 0.74
10.0 6.0 -1.0 0.50
5.0 1.0 -1.0 0.42
-15.0 8.0 1.0 0.51
-25.0 1.0 -1.0 0.57
40.0 4.0 -1.0 0.50
-10.0 8.0 1.0 0.46
0.0 -9.0 -1.0 0.45
20.0 21.0 1.0 0.55
-25.0 16.0 1.0 0.47
-15.0 11.0 1.0 0.52
5.0 4.0 -1.0 0.66
-30.0 4.0 -1.0 0.45
30.0 8.0 -1.0 0.45
20.0 8.0 -1.0 0.59
-10.0 4.0 -1.0 0.70
-35.0 11.0 1.0 0.55
0.0 6.0 1.0 0.70
-5.0 6.0 1.0 0.48
-20.0 6.0 1.0 0.43
0.0 4.0 1.0 0.53
-15.0 -4.0 -1.0 0.65
-10.0 11.0 1.0 0.51
-45.0 1.0 -1.0 0.56
-35.0 -9.0 -1.0 0.47
25.0 -4.0 -1.0 0.50
25.0 1.0 -1.0 0.42
-40.0 6.0 -1.0 0.43
-45.0 16.0 -1.0 0.42
-25.0 21.0 1.0 0.55
15.0 6.0 -1.0 0.54
-30.0 -9.0 -1.0 0.49
-10.0 21.0 1.0 0.48
15.0 21.0 1.0 0.48
-45.0 11.0 1.0 0.77
15.0 -9.0 -1.0 0.51
-25.0 -4.0 -1.0 0.48
-15.0 16.0 1.0 0.51
-35.0 6.0 1.0 0.75
15.0 1.0 -1.0 0.56
-30.0 -4.0 -1.0 0.52
10.0 8.0 1.0 0.56
30.0 6.0 -1.0 0.46
-5.0 16.0 1.0 0.50
35.0 1.0 -1.0 0.48
30.0 21.0 1.0 0.51
35.0 -4.0 -1.0 0.50
40.0 1.0 -1.0 0.46
25.0 16.0 1.0 0.59
35.0 4.0 -1.0 0.50
-5.0 11.0 1.0 0.53
-5.0 4.0 -1.0 0.89
-5.0 -4.0 -1.0 0.52
30.0 1.0 -1.0 0.54
-20.0 -9.0 -1.0 0.52
5.0 21.0 1.0 0.60
5.0 16.0 1.0 0.50
15.0 16.0 1.0 0.61
-35.0 16.0 1.0 0.50
15.0 8.0 -1.0 0.55
-30.0 6.0 -1.0 0.53
25.0 6.0 -1.0 0.47
10.0 -4.0 -1.0 0.47
40.0 6.0 -1.0 0.48
-30.0 21.0 1.0 0.55
20.0 16.0 -1.0 0.66
35.0 21.0 1.0 0.68
-45.0 4.0 -1.0 0.52
10.0 16.0 1.0 0.53
-10.0 -9.0 -1.0 0.47
-25.0 -9.0 -1.0 0.45
20.0 11.0 -1.0 0.57
-40.0 21.0 1.0 0.57
-20.0 21.0 1.0 0.48
-45.0 21.0 1.0 0.65
-45.0 8.0 1.0 0.68
-30.0 11.0 1.0 0.48
-45.0 -4.0 -1.0 0.55
-30.0 8.0 1.0 0.50
-25.0 4.0 1.0 0.61
-15.0 -9.0 -1.0 1.03
0.0 1.0 -1.0 0.54
30.0 11.0 -1.0 0.50
10.0 11.0 -1.0 0.53
-40.0 -9.0 -1.0 0.50
25.0 21.0 1.0 0.57
-20.0 8.0 1.0 0.53
5.0 8.0 1.0 0.77
5.0 6.0 1.0 0.55
-5.0 8.0 1.0 0.52
15.0 -4.0 -1.0 0.50
20.0 1.0 -1.0 0.50
-35.0 4.0 -1.0 0.44
20.0 6.0 -1.0 0.46
10.0 4.0 -1.0 0.45
-40.0 1.0 -1.0 0.43
-45.0 -9.0 -1.0 0.43
-40.0 -4.0 -1.0 0.40
-35.0 1.0 -1.0 0.42
0.0 16.0 1.0 0.56
-15.0 6.0 1.0 0.64
-15.0 21.0 1.0 0.47
-45.0 6.0 1.0 0.44
15.0 4.0 -1.0 0.51
25.0 -9.0 -1.0 0.44
35.0 -9.0 -1.0 0.44
-25.0 11.0 1.0 0.52
-40.0 4.0 -1.0 0.63
0.0 11.0 1.0 0.51
20.0 -4.0 -1.0 0.58
40.0 -4.0 -1.0 0.48
-15.0 1.0 -1.0 0.39
-20.0 4.0 1.0 0.50
5.0 11.0 1.0 0.50
-25.0 6.0 1.0 0.45
-10.0 -4.0 -1.0 0.86
-30.0 16.0 1.0 0.50
-35.0 21.0 1.0 0.44
20.0 -9.0 -1.0 0.49
-20.0 -4.0 -1.0 0.51
0.0 8.0 1.0 0.62
0.0 21.0 1.0 0.49
-5.0 21.0 1.0 0.68
-15.0 4.0 1.0 0.87
-35.0 8.0 1.0 0.52
25.0 8.0 -1.0 0.63
0.0 -4.0 -1.0 0.48
30.0 -4.0 -1.0 0.47
5.0 -9.0 -1.0 0.46
-40.0 8.0 -1.0 0.45
-5.0 -9.0 -1.0 0.55
10.0 1.0 -1.0 0.52
-20.0 11.0 1.0 0.62
-40.0 11.0 1.0 0.58
