Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 7;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Mar_29_0908;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
0.0 -8.0 -1.0 0.55
-35.0 -8.0 -1.0 0.55
-20.0 8.0 1.0 0.55
-40.0 -2.0 -1.0 0.86
-30.0 -2.0 1.0 0.68
-10.0 12.0 1.0 0.55
40.0 0.0 -1.0 1.26
-5.0 5.0 1.0 0.47
-25.0 8.0 1.0 0.50
35.0 -8.0 -1.0 0.51
40.0 2.0 1.0 0.77
-10.0 -5.0 1.0 0.60
-45.0 -5.0 -1.0 0.52
40.0 -2.0 1.0 1.14
-45.0 8.0 1.0 0.60
15.0 -12.0 -1.0 0.52
15.0 8.0 1.0 0.50
-25.0 -12.0 -1.0 1.00
20.0 0.0 -1.0 1.15
-35.0 5.0 1.0 0.61
-5.0 2.0 1.0 0.52
-25.0 -8.0 -1.0 0.71
-35.0 12.0 1.0 0.69
-20.0 2.0 1.0 1.05
-5.0 -2.0 1.0 0.72
30.0 5.0 1.0 0.79
10.0 5.0 1.0 1.16
20.0 5.0 1.0 0.83
0.0 -5.0 -1.0 0.56
-45.0 -8.0 -1.0 0.52
5.0 0.0 -1.0 0.49
25.0 0.0 -1.0 0.47
-15.0 2.0 1.0 0.58
15.0 -2.0 -1.0 0.53
30.0 -2.0 -1.0 0.58
30.0 0.0 -1.0 0.65
-40.0 8.0 1.0 0.56
20.0 2.0 1.0 0.51
10.0 -12.0 -1.0 0.55
-10.0 2.0 1.0 0.67
25.0 -5.0 -1.0 0.49
-35.0 -2.0 1.0 1.33
-25.0 5.0 1.0 0.57
0.0 8.0 1.0 0.55
-5.0 12.0 1.0 0.50
20.0 8.0 1.0 0.46
-35.0 2.0 1.0 0.51
10.0 -2.0 -1.0 1.33
-5.0 -5.0 -1.0 1.07
0.0 -12.0 -1.0 0.55
25.0 2.0 -1.0 0.49
